b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
122	673	29	139	441	978	98	203	41	1
738	574	155	127	1027	974	221	218	65	4
522	301	109	64	998	955	206	196	76	6
639	208	139	45	1118	709	240	155	99	9
230	778	50	167	965	1398	202	294	103	111
429	816	92	171	961	1442	196	293	109	32
899	1031	191	213	1371	1443	293	300	135	16
1	40	0	7	797	533	161	111	136	17
695	1	154	0	859	195	186	38	138	19
871	936	189	198	1044	1109	226	233	143	11
297	257	60	56	756	646	161	139	155	22
975	77	210	17	1393	346	300	75	166	21
846	345	184	66	1389	837	299	169	195	25
812	539	181	111	1105	827	244	171	198	26
1	1102	0	227	405	1471	80	300	202	36
400	5	79	1	813	417	165	87	202	37
1149	707	242	147	1415	829	300	173	215	28
1	829	0	173	207	1033	42	213	216	28
395	1009	88	212	779	1451	166	300	222	24
92	1139	17	235	448	1370	95	283	235	37
457	583	99	116	838	998	182	204	267	35
1125	1013	242	207	1343	1271	290	261	270	35
485	1277	105	263	754	1442	164	300	272	26
545	848	116	184	1088	1386	230	294	282	41
1057	909	224	191	1211	1074	258	226	297	27
1009	144	207	30	1361	434	284	93	375	49
1113	837	227	183	1445	1180	300	255	428	246
125	42	27	9	483	466	102	96	429	247
130	688	28	144	372	935	78	193	433	230
22	534	4	116	472	989	102	209	433	376
82	1063	18	218	481	1423	107	298	442	137
486	308	105	64	1013	914	215	191	446	139
460	350	102	65	1399	1221	300	248	456	86
136	523	30	101	1006	1382	219	282	457	86
1069	1	233	0	1401	591	300	113	457	87
736	297	152	64	1395	970	298	206	506	62
439	297	88	64	662	602	136	128	506	62
492	976	102	205	780	1335	163	278	511	57
6	891	1	177	682	1413	151	287	514	56
624	17	138	3	942	313	210	68	514	57
845	17	175	3	1232	525	264	111	520	57
134	885	28	176	556	1216	123	251	531	74
296	402	65	89	1388	1358	298	290	549	69
774	320	163	66	1151	840	244	174	562	68
122	904	26	185	252	1071	53	218	576	63
477	18	101	3	640	210	136	43	587	85
658	500	142	103	1272	941	273	197	588	73
807	65	157	11	1466	620	288	124	614	240
13	623	2	125	307	877	63	177	615	240
492	911	106	192	794	1242	168	258	619	216
988	801	207	159	1365	1160	283	230	647	44
949	1039	203	219	1303	1201	282	254	661	236
38	1100	9	232	335	1377	71	290	665	258
892	11	191	2	1392	426	300	89	687	448
22	399	5	83	425	697	92	149	688	448
249	931	54	197	745	1385	163	300	695	451
750	788	160	163	1300	1252	278	264	703	452
125	721	27	156	424	1050	91	228	710	384
1	1037	0	218	461	1443	91	298	719	140
347	1292	74	262	541	1472	116	300	720	141
565	433	121	88	858	622	184	126	743	136
155	680	33	141	417	955	89	200	744	135
164	442	35	90	1056	1096	222	226	744	136
1069	58	231	12	1328	356	284	73	821	89
596	389	122	80	936	711	191	146	822	89
334	1023	69	209	602	1284	126	264	834	91
1073	528	218	108	1330	759	273	158	836	115
265	528	55	108	713	883	148	185	837	115
531	14	110	2	1442	998	287	192	851	112
517	15	105	2	988	561	196	109	900	403
229	1	49	0	1172	837	235	165	953	222
461	1000	103	215	878	1419	189	300	988	178
878	1	189	0	1223	327	261	69	988	179
217	686	48	144	424	957	91	202	994	179
387	674	78	143	676	923	139	195	999	184
459	727	93	151	991	1251	206	259	1002	182
1073	259	227	55	1403	621	297	132	1004	183
8	639	2	136	522	1149	100	234	1005	183
425	502	90	106	1148	1231	246	258	1039	179
493	1	105	0	1423	839	297	169	1042	190
1	936	0	187	486	1396	102	283	1043	190
734	1	156	0	1421	645	293	127	1046	190
339	186	72	34	1422	1049	289	209	1065	101
972	10	215	2	1230	242	268	49	1067	105
605	743	135	153	1155	1292	254	268	1073	97
101	743	24	153	551	1292	122	268	1074	97
375	303	72	64	1455	957	300	200	1077	98
1	957	0	200	452	1376	84	281	1078	98
505	446	111	96	1345	1212	291	260	1094	99
835	493	173	103	1438	1049	292	215	1097	6
1	943	0	204	437	1377	97	300	1101	103
1018	585	222	123	1361	997	299	213	1103	100
97	290	20	61	679	763	147	161	1116	102
1	742	0	156	544	1145	118	244	1139	200
1133	216	239	42	1410	463	299	95	1189	146
825	650	174	139	1185	1098	250	234	1219	175
47	988	9	205	438	1418	93	296	1224	210
766	1	160	0	1448	645	296	127	1229	190
1	1171	0	251	150	1315	33	284	1350	513
645	727	136	153	1076	1145	231	244	1422	200
402	631	84	133	798	1045	167	216	1480	230
231	458	50	100	798	1022	167	216	1480	376
969	220	203	47	1444	926	297	190	1514	6
1173	566	239	118	1400	752	284	155	1598	291
978	109	204	22	1481	549	300	108	1598	415
1	549	0	108	749	1265	160	259	1599	415
238	211	50	45	980	1026	194	211	1701	6
357	1084	69	216	1000	1504	196	298	1719	401
725	640	148	135	1448	1213	295	261	1736	395
1193	1	249	0	1454	300	299	58	1742	403
34	37	7	7	387	442	77	87	1746	400
819	812	171	169	1305	1284	272	269	1755	402
397	1001	83	211	771	1298	165	276	1775	422
821	320	168	64	1226	676	256	140	1805	424
1	455	0	97	298	726	60	154	1915	493
9	1020	2	213	327	1262	70	262	2007	459
631	673	133	141	1130	1221	241	260	2034	465
317	276	68	53	685	689	147	143	2097	478
807	318	172	64	1371	988	293	202	2097	505
97	674	20	138	854	1408	178	293	2127	480
824	752	170	156	1233	1213	260	255	2136	479
13	958	3	193	427	1455	92	299	2183	507
650	497	138	100	1265	1065	267	218	2202	472
592	437	124	89	1216	1075	249	213	2209	481
486	13	97	2	1338	632	263	124	2210	482
789	1128	176	234	1386	1451	300	300	2233	402
1	1	0	0	844	885	167	176	2234	403
683	4	148	1	1288	369	274	79	2246	488
258	850	52	174	735	1357	154	284	2263	3
258	473	52	98	631	938	131	192	2263	506
831	443	173	89	1455	983	300	201	2265	505
640	175	133	34	1182	627	246	127	2271	472
191	769	41	167	339	903	73	196	2361	304
190	1	38	0	675	473	138	96	2369	307
1036	407	215	84	1393	776	296	165	2386	289
631	271	129	56	1121	753	234	161	2398	314
765	577	158	115	1170	862	238	174	2416	294
