b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
146	1242	32	240	426	1533	89	300	8	2747
395	350	84	66	584	547	126	110	10	2921
279	907	57	181	405	1023	86	207	19	947
360	765	72	158	1079	1434	217	297	24	614
1	833	0	160	410	1273	88	255	35	1526
621	1123	127	225	962	1452	203	294	87	108
7	809	1	162	633	1338	129	273	93	363
755	1183	154	224	946	1362	194	261	120	3706
884	69	190	13	1274	350	266	67	128	642
704	294	142	62	1330	807	267	168	157	670
453	176	93	38	942	641	195	133	166	1361
815	797	170	160	1434	1336	297	271	170	733
806	1158	168	246	1112	1414	232	300	170	777
1139	1122	238	222	1312	1297	272	256	170	2723
456	242	96	45	941	552	190	105	171	619
1	264	0	55	157	394	34	83	171	1002
1335	402	266	83	1472	677	296	138	173	1004
1170	1	231	0	1523	290	300	53	177	1131
838	980	175	210	968	1203	204	258	179	1375
595	1	124	0	1438	629	294	129	192	55
359	794	73	162	1082	1232	227	250	194	243
698	322	137	68	1498	1036	300	208	198	232
50	726	10	145	869	1476	183	300	199	246
869	1	183	0	1456	408	300	83	199	247
11	415	3	85	503	784	105	163	200	247
1181	195	241	43	1454	473	300	101	201	314
1	473	0	101	326	754	63	155	202	314
721	409	144	86	1484	876	300	178	210	979
784	1212	150	247	1115	1458	220	300	270	420
1115	1	220	0	1453	232	293	48	270	421
12	232	2	48	1492	1233	300	246	271	421
1	1233	0	246	338	1491	66	300	272	421
338	1	66	0	935	447	185	87	272	422
993	1	198	0	1335	326	271	70	272	424
6	119	1	25	506	565	103	116	273	439
179	508	37	101	1113	1100	233	224	278	530
629	69	132	13	1025	350	210	67	281	642
371	1	74	0	874	507	173	100	283	642
1051	527	213	109	1410	828	286	169	284	100
807	1256	165	256	963	1392	197	283	284	475
1158	1	239	0	1403	212	289	43	287	596
137	1147	27	238	394	1377	82	286	288	599
1022	216	220	44	1393	501	293	99	292	842
207	583	43	116	940	991	192	200	293	842
458	466	97	93	971	852	204	172	294	2894
746	155	163	33	1000	438	218	94	301	992
900	402	187	83	1389	794	291	162	304	1004
1	75	0	16	186	256	39	54	304	1005
132	542	27	112	348	735	73	154	309	1157
727	583	149	122	1255	1011	258	210	309	1204
1	243	0	51	313	457	67	95	310	1204
597	656	124	128	1295	1258	273	256	316	878
1170	451	246	89	1428	735	299	147	316	8031
344	651	73	128	1219	1494	254	300	323	193
1219	1	254	0	1440	173	300	37	323	194
233	228	49	47	416	418	89	89	323	813
1	173	0	37	512	586	103	119	324	194
1087	1	224	0	1392	282	285	55	326	290
691	459	142	95	1220	992	252	204	327	362
1	111	0	23	615	594	126	122	328	673
226	6	49	1	1116	801	239	170	332	441
238	1057	49	219	589	1392	119	285	337	789
1244	997	252	195	1460	1221	300	244	352	2675
680	1305	148	253	918	1528	200	300	369	2621
1304	1034	269	213	1453	1153	300	237	376	2779
1014	1	209	0	1204	230	255	56	378	36
369	1074	76	215	778	1477	161	300	402	972
411	119	85	24	955	564	195	118	402	973
834	695	176	139	1104	1025	231	208	404	875
124	1225	25	260	317	1414	66	300	404	1285
272	604	55	130	575	862	114	182	405	1266
1023	1054	211	217	1268	1304	264	270	457	663
77	1205	16	248	365	1440	79	300	459	892
