b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
630	846	132	159	967	1264	203	245	23	1077
1	1139	0	217	278	1364	60	265	56	820
55	132	11	26	278	343	61	74	78	1214
854	560	178	107	1476	1168	300	225	97	2340
1	1168	0	225	215	1386	45	271	98	2340
434	1201	89	232	599	1369	117	260	134	2349
16	1245	4	251	275	1484	58	300	163	2356
31	158	7	30	667	788	134	154	175	2076
652	646	141	124	799	792	174	156	227	534
160	6	33	1	362	209	72	40	229	2383
1162	1146	243	213	1319	1313	280	251	341	871
96	1183	21	214	605	1581	128	298	359	890
642	1	135	0	862	175	179	33	359	891
703	731	140	146	1415	1431	291	294	417	1902
923	714	179	139	1121	916	221	182	458	2009
