b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
755	445	148	80	1318	1171	251	218	1958	873
366	475	77	92	666	751	138	147	2010	141
47	795	8	144	252	1029	48	188	4279	122
1262	133	249	26	1440	318	287	64	4960	447
527	484	106	95	736	757	151	150	8302	542
179	761	37	151	357	949	72	188	8305	542
304	761	60	151	910	961	165	190	8306	542
674	761	134	151	856	955	170	189	8312	542
1181	205	222	38	1386	407	261	77	8357	563
764	761	153	151	954	961	190	190	10251	542
520	761	97	151	922	961	170	190	10252	542
1346	133	264	26	1515	311	300	63	11167	447
