b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
266	493	50	94	666	893	129	173	3196	3
818	1	161	0	1337	520	259	98	3196	4
913	642	185	122	1202	931	243	180	3861	5
1284	759	249	146	1468	931	285	180	3899	5
1448	94	269	20	1599	244	300	51	3903	6
1	244	0	51	225	468	44	95	3904	6
965	103	180	22	1226	365	234	76	3905	6
287	1	58	0	569	283	121	63	3904	7
547	1	107	0	742	196	152	45	3911	7
1462	739	263	150	1640	1334	300	271	3993	7
1	1334	0	271	156	1489	29	300	3994	7
1211	739	226	150	1544	1489	292	300	3997	7
229	1024	43	201	458	1253	88	246	3994	8
982	1024	178	201	1127	1169	207	230	4003	8
388	668	75	130	762	1413	147	270	3994	9
489	740	94	144	700	951	136	186	4008	9
762	126	147	24	1117	600	214	114	3994	10
1117	1395	214	268	1287	1565	246	300	3994	10
873	126	171	24	1177	549	229	105	4011	10
539	1395	108	268	709	1565	140	300	4018	10
1287	417	246	80	1548	956	297	181	3994	11
274	469	49	89	483	956	91	181	4022	11
98	969	21	194	283	1154	62	235	3995	12
1008	969	195	194	1193	1154	236	235	4026	12
333	556	65	114	1330	1354	260	270	4031	13
238	605	48	125	380	747	75	152	4044	13
181	1030	35	207	379	1229	74	246	4049	13
547	1	100	0	1301	959	253	195	4053	14
1442	1	276	0	1554	113	300	24	4054	14
128	143	25	31	450	416	88	86	4058	14
652	754	124	156	857	959	163	195	4062	14
1343	7	260	1	1525	189	296	37	4053	15
1	985	0	193	273	1257	50	243	4054	15
737	7	142	1	919	189	178	37	4065	15
267	1086	53	209	438	1257	87	243	4068	15
387	712	81	135	1016	1174	208	228	4074	16
1183	712	230	135	1325	854	259	164	4085	16
74	882	13	172	601	1533	115	300	4094	17
479	882	90	172	651	1054	122	204	4095	17
1145	1054	220	204	1429	1463	276	286	4097	17
618	187	118	35	1087	683	217	140	4094	18
568	398	102	79	853	683	163	140	4105	18
224	957	41	192	554	1289	103	254	4920	18
1304	954	246	191	1587	1230	300	244	4922	18
554	1098	103	207	802	1608	149	300	4920	19
955	1256	182	236	1158	1608	220	300	4928	19
5	929	1	171	439	1361	87	257	2947	20
439	396	87	79	925	1110	180	218	2947	21
1002	1038	186	195	1297	1333	245	254	5835	23
558	1038	107	195	853	1333	166	254	5837	23
653	1178	119	222	1041	1566	197	300	5394	25
799	1178	150	222	966	1341	183	254	5401	25
876	1161	178	219	1387	1566	278	300	5403	25
1090	681	207	130	1439	1030	277	200	5394	26
335	681	66	130	677	1030	136	200	5407	26
123	136	26	25	783	1499	159	295	5395	27
917	136	185	25	1064	283	214	54	5407	27
1292	362	259	69	1487	557	300	110	5411	27
1	557	0	110	264	1499	52	295	5412	27
1046	952	213	190	1195	1502	242	300	5395	28
807	1	164	0	1095	278	222	56	5395	28
288	1	57	0	546	259	109	52	5412	28
1134	958	218	191	1264	1502	244	300	5418	28
1205	1046	232	203	1396	1237	268	239	4803	29
972	1046	190	203	1163	1237	226	239	4812	29
1195	1	242	0	1386	409	281	81	5395	29
1264	1	244	0	1455	409	283	81	5418	29
877	36	168	7	1407	1280	274	257	4823	30
946	52	185	10	1465	1280	289	257	4824	30
123	179	23	36	255	311	49	62	4824	31
434	172	86	35	571	311	113	62	4833	31
298	973	57	183	714	1514	138	289	4649	32
662	984	125	185	1056	1514	202	289	4650	32
714	192	138	39	1447	1328	292	270	4649	33
1056	192	202	39	1289	423	254	91	4650	33
162	628	31	133	688	1328	138	270	4661	33
896	565	172	111	1277	947	244	183	5309	35
832	565	160	111	1213	947	232	183	5323	35
1277	447	244	87	1556	726	300	143	5309	36
185	1246	36	250	418	1479	82	296	5310	36
1117	447	211	87	1434	764	274	150	5330	36
249	1286	49	258	473	1479	94	296	5343	36
764	216	144	41	1068	519	209	106	5310	37
42	216	7	41	346	519	72	106	5349	37
1255	912	247	185	1393	1050	275	213	5310	38
1117	1	219	0	1255	139	247	28	5310	38
533	912	110	185	671	1050	138	213	5349	38
395	1	82	0	533	139	110	28	5349	38
441	623	89	124	816	999	162	197	5652	39
1119	623	219	124	1494	999	292	197	5663	39
105	1	20	0	882	1404	176	275	4694	41
151	1	29	0	594	818	118	161	4706	41
71	1122	14	219	353	1404	70	275	4718	41
397	750	77	137	941	1597	182	300	1668	42
860	1047	176	201	1184	1371	242	267	4845	43
1185	1047	229	201	1361	1224	264	236	4856	43
1163	481	237	96	1471	1060	300	216	4845	44
1055	481	209	96	1494	1191	300	244	4864	44
430	1399	74	271	585	1554	103	300	5836	46
1067	1392	198	270	1228	1554	228	300	5846	46
475	911	95	175	1108	1544	220	300	3926	48
664	911	124	175	1019	1266	193	244	3933	48
1	1306	0	251	116	1421	24	275	3941	48
1108	1	220	0	1489	382	300	80	3926	49
166	1	33	0	336	171	72	39	3942	49
770	171	159	39	997	397	203	83	3945	49
1	877	0	179	355	1231	69	248	5275	49
837	877	158	179	1191	1231	227	248	5286	49
