b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1087	451	213	91	1493	828	298	169	28	121
1	828	0	169	495	1279	104	263	29	121
500	960	105	184	945	1382	186	262	29	122
18	1319	4	271	166	1467	31	298	30	121
173	1	32	0	764	505	143	94	30	122
1327	884	252	169	1561	1111	300	216	85	118
491	193	93	35	911	770	173	147	85	118
1	1111	0	216	221	1327	46	260	86	118
165	188	35	37	577	953	120	198	88	117
1	994	0	205	462	1451	95	300	89	159
462	1	95	0	1525	818	300	160	89	160
311	204	64	42	543	448	112	94	90	159
1	818	0	160	196	1014	41	202	90	160
313	1066	61	218	1090	1433	217	293	92	157
1078	36	214	8	1491	389	297	79	105	106
23	274	4	59	1343	1497	265	300	106	106
1343	1	265	0	1531	186	300	34	106	107
1	186	0	34	1471	1511	296	300	107	107
612	1125	114	226	769	1283	143	255	108	106
1	18	0	4	388	395	70	73	108	108
967	523	185	108	1436	944	279	192	109	125
201	995	37	202	667	1379	128	278	110	125
8	105	2	22	1537	1469	298	289	126	13
440	41	92	9	1364	814	289	171	128	15
231	146	46	29	624	517	122	102	137	88
8	850	1	171	200	1013	38	203	199	230
656	635	130	129	820	797	164	162	283	48
110	797	21	162	578	1298	119	268	284	48
1	1205	0	238	270	1479	54	292	356	96
986	891	184	182	1434	1310	279	270	372	205
575	225	109	44	770	578	151	121	373	91
1194	748	236	145	1486	1022	294	200	518	37
645	1022	112	200	1077	1496	202	300	519	37
200	47	39	10	1241	1077	254	225	520	38
57	15	10	3	385	345	79	74	525	36
1040	345	207	74	1414	808	283	170	527	36
41	653	7	139	192	808	37	170	528	36
765	33	152	8	1467	708	298	146	581	20
180	43	38	9	566	453	114	90	622	103
128	446	26	94	312	716	63	145	660	51
1176	189	217	42	1562	556	300	122	853	63
1	556	0	122	806	1004	156	215	854	63
1270	566	242	114	1575	851	300	170	856	54
1	851	0	170	395	1276	78	255	857	54
217	576	43	120	994	1325	192	263	869	112
1031	423	191	85	1535	952	297	195	871	41
1031	68	191	15	1427	474	273	98	871	187
90	254	17	51	271	433	57	90	872	194
1	496	0	105	999	1467	200	300	873	194
999	1	200	0	1238	243	248	48	873	195
183	1260	34	266	380	1428	73	300	882	50
380	1	73	0	520	160	102	33	882	51
458	622	91	123	652	736	133	148	889	220
597	1	116	0	1099	492	219	100	890	220
45	713	9	132	224	884	47	167	893	9
1	1167	0	224	364	1542	72	299	895	60
857	43	167	10	1511	662	300	136	897	20
851	1203	167	238	1025	1389	202	275	898	3
1176	283	225	59	1548	645	300	133	911	148
28	1	6	0	1562	1304	300	257	922	8
178	528	35	107	582	832	122	172	924	5
1	323	0	68	1116	1428	234	300	925	66
1116	1	234	0	1424	292	300	63	925	67
1083	882	212	181	1366	1160	272	240	926	67
1	292	0	63	592	882	118	181	926	67
206	893	39	186	600	1291	120	269	936	11
5	421	1	87	349	794	70	163	937	11
238	316	42	63	901	960	175	192	963	188
607	1	120	0	1036	379	210	78	966	183
292	193	55	37	791	699	152	136	971	92
948	593	191	109	1256	935	250	176	973	102
351	23	75	4	475	148	100	29	973	199
942	184	183	35	1247	501	243	101	980	230
681	4	140	1	964	299	198	61	983	64
641	540	130	109	1490	1464	300	294	989	140
37	1	6	0	368	313	70	61	990	141
848	874	174	182	1340	1451	274	300	991	61
653	140	132	29	1332	850	275	176	994	182
1210	990	246	203	1476	1299	300	266	996	93
1018	156	205	32	1459	583	294	117	1002	178
1	590	0	119	1248	1496	243	296	1003	178
1315	1	256	0	1515	200	298	42	1003	179
1177	698	239	146	1496	1088	300	223	1036	162
1293	1252	264	262	1484	1448	300	300	1062	101
1192	120	237	27	1517	571	300	116	1069	26
673	1	130	0	1453	766	300	165	1074	177
1	766	0	165	672	1437	135	300	1075	177
573	439	113	88	974	824	191	163	1111	103
594	725	117	152	1123	1155	226	246	1112	229
850	485	160	95	1108	735	211	145	1116	225
686	116	130	27	1355	920	262	183	1126	39
986	77	183	15	1539	521	300	107	1128	100
20	507	5	104	505	953	107	201	1129	100
528	1	101	0	691	170	131	31	1192	188
858	1295	167	265	988	1455	196	300	1192	204
487	1293	92	264	656	1485	124	300	1192	208
1198	1011	236	203	1469	1307	295	268	1218	80
1006	615	200	122	1290	987	259	197	1403	163
1281	356	261	69	1412	487	290	98	1410	190
141	409	31	82	356	629	77	127	1411	190
