b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
404	159	81	30	584	337	116	65	1128	139
629	965	136	205	795	1073	175	231	1254	942
301	1083	57	215	602	1418	119	283	1986	21
749	961	148	184	939	1130	186	217	2020	781
491	640	106	126	824	877	173	175	3166	16
308	632	63	124	556	871	114	174	3169	16
668	1190	141	227	821	1342	173	259	3494	827
706	159	134	33	937	391	180	80	3603	396
863	533	180	110	1067	712	222	147	3701	874
435	904	90	188	661	1097	137	227	3706	1031
24	904	5	188	171	1035	36	215	3725	1031
580	1	119	0	722	123	146	24	4552	897
449	1330	99	262	592	1464	130	291	5046	571
