b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
888	520	183	109	1094	726	226	152	625	233
1276	667	256	143	1421	810	287	174	487	236
141	299	29	61	296	483	61	99	451	237
317	35	68	7	667	396	141	83	434	242
213	243	44	54	416	441	86	97	496	245
151	243	31	47	395	514	80	102	37	254
1124	281	228	62	1339	514	275	113	155	255
287	1	59	0	405	127	84	27	315	262
632	1	125	0	785	154	157	32	121	274
1038	938	214	194	1404	1300	291	271	8	282
586	584	117	134	1109	1111	229	248	388	291
1091	186	219	43	1353	463	274	102	367	293
284	1	61	0	447	166	92	34	112	303
1278	1	265	0	1454	181	300	36	352	308
1072	197	219	43	1245	371	255	79	455	310
873	535	172	118	1473	1096	294	234	36	311
351	1246	71	265	509	1406	105	300	51	311
426	218	89	42	755	566	159	117	86	312
787	758	163	159	1135	1134	234	238	440	323
1080	778	220	161	1460	1168	300	241	610	326
1222	691	253	151	1427	901	300	200	88	350
740	10	153	2	1152	372	241	83	112	386
511	71	102	14	894	419	182	86	366	389
933	77	193	15	1429	538	300	119	480	409
1	538	0	119	149	740	32	162	481	409
480	697	105	149	728	1237	160	269	345	417
1247	1239	246	261	1420	1412	284	299	475	423
1296	785	266	160	1453	939	300	194	19	424
1	939	0	194	420	1366	85	283	20	424
61	1112	9	236	300	1350	56	283	476	432
17	642	4	137	531	1189	119	258	445	435
951	590	200	132	1182	814	251	182	115	437
552	560	114	123	939	943	195	206	528	450
29	865	6	177	388	1381	81	283	77	473
1029	158	219	32	1421	563	300	117	492	487
1	563	0	117	175	734	34	150	493	487
203	142	40	31	868	808	181	176	103	492
869	998	175	206	1139	1261	238	265	640	574
394	896	82	180	783	1289	164	264	151	580
532	791	111	171	943	1218	194	260	489	596
526	443	108	91	788	710	162	145	354	598
842	1222	175	261	1019	1401	213	300	77	636
1019	1	213	0	1246	235	263	53	77	637
1	1209	0	255	118	1325	26	281	561	641
651	874	136	182	954	1203	200	254	283	653
638	133	134	26	828	336	174	72	12	672
702	766	139	165	1300	1415	257	300	432	676
593	892	126	187	813	1115	176	238	485	678
1110	526	226	105	1396	852	287	178	474	682
847	1	172	0	1110	262	226	54	474	684
1	272	0	62	163	435	35	99	352	699
342	1	68	0	664	327	138	74	74	701
656	731	134	160	961	1042	200	228	114	703
413	1	87	0	771	376	160	83	480	703
139	143	28	32	486	483	101	104	24	705
400	208	84	45	994	445	212	92	348	739
358	1025	70	216	481	1148	94	240	506	757
732	382	147	83	1334	907	266	186	524	761
376	16	75	3	698	187	138	35	407	795
