b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1434	1419	264	267	1595	1581	296	300	9	23
1189	1083	208	201	1349	1552	237	290	16	34
1071	717	200	132	1481	1338	278	245	18	36
562	604	102	118	708	750	130	146	19	37
1200	1074	224	213	1505	1511	287	300	19	37
725	1	134	0	1029	305	191	58	19	38
146	828	26	150	391	1132	76	212	21	40
391	501	76	100	680	787	135	158	21	41
554	443	108	89	933	1072	176	199	23	42
933	444	176	90	1111	620	213	127	23	43
1130	38	216	7	1376	462	264	92	23	44
764	399	137	76	1100	818	204	159	28	49
1100	62	204	10	1341	547	247	98	28	50
1429	524	264	103	1584	701	293	137	28	51
1231	184	228	37	1448	562	267	107	29	49
291	656	52	133	941	1441	174	285	34	54
893	429	167	77	1219	1197	235	222	34	55
1152	20	220	5	1465	768	286	153	34	56
855	255	168	49	1181	1035	233	200	37	60
243	836	47	153	473	1062	93	199	43	68
82	517	14	103	521	1228	97	239	44	66
1119	603	214	117	1405	985	268	189	45	69
100	353	20	63	1018	822	194	155	48	73
1	87	0	15	719	830	129	151	49	74
266	1103	53	215	608	1482	118	286	53	80
723	1026	128	197	1044	1456	187	275	55	82
348	414	68	76	610	618	120	116	57	84
954	644	182	122	1426	1380	268	259	60	88
44	370	8	72	391	751	80	145	64	92
519	1002	105	190	823	1305	164	248	64	93
1296	1	255	0	1463	574	288	111	64	96
439	863	90	168	997	1531	194	295	67	95
1319	590	242	109	1626	1050	300	197	69	98
500	426	97	85	957	952	187	186	70	99
806	305	160	55	1338	1158	255	216	70	100
960	799	172	157	1232	1119	223	217	73	104
963	586	182	119	1539	1111	291	219	75	105
46	802	7	158	835	1531	159	300	77	106
1268	1	238	0	1473	205	276	38	77	108
6	1266	1	226	253	1513	48	273	78	109
20	695	4	133	216	924	41	178	83	112
906	430	171	83	1382	1308	265	251	83	113
541	441	108	85	895	782	178	150	84	113
252	756	47	150	552	1055	107	210	86	115
392	168	76	31	793	727	149	136	86	116
813	394	158	77	1021	647	200	127	92	123
983	1056	192	209	1244	1395	241	274	92	123
1210	409	235	84	1383	570	266	114	92	124
650	195	121	38	939	553	177	108	97	129
742	484	148	91	1421	1163	277	220	99	130
626	617	123	120	1311	1558	251	300	100	131
1357	554	261	106	1561	758	300	145	103	135
1167	642	223	124	1506	978	289	188	105	137
228	1146	41	210	540	1449	92	260	106	139
155	1	30	0	299	146	59	30	109	142
1063	7	205	1	1461	668	287	138	111	144
381	1068	76	207	663	1322	130	257	112	145
1003	862	198	165	1195	1050	237	203	112	148
1320	1207	265	233	1517	1404	300	268	115	150
1026	17	206	3	1320	316	265	63	115	150
1	1404	0	268	161	1564	32	300	116	150
115	1022	23	207	413	1362	77	270	116	151
571	4	109	1	1418	1106	268	203	118	152
1319	1	250	0	1600	409	299	68	118	153
246	1240	46	240	502	1495	96	290	121	155
346	408	65	76	759	1431	142	265	121	156
1184	91	224	17	1547	423	294	84	122	157
1	1103	0	225	199	1300	39	264	123	158
30	219	6	42	628	964	119	186	125	159
600	21	107	4	867	324	157	59	126	162
951	455	174	91	1381	927	256	182	126	163
1	408	0	85	295	840	59	173	129	164
272	656	54	123	468	849	93	162	129	165
459	939	92	190	628	1107	126	225	129	166
325	836	60	153	668	1222	120	220	132	168
111	1028	20	199	421	1468	77	279	134	169
795	585	145	109	1169	1070	215	202	134	171
1077	38	202	7	1569	578	294	107	136	172
821	1142	161	221	1147	1532	220	292	137	173
1062	140	203	27	1332	586	257	110	137	175
280	698	51	128	955	1541	181	296	138	174
195	1226	40	235	439	1486	95	294	139	175
747	117	155	22	1038	857	202	154	139	176
1232	988	237	177	1405	1183	269	213	139	177
48	171	9	30	606	874	121	169	144	183
1	567	0	106	257	823	50	156	147	186
127	514	25	104	452	966	92	196	147	187
653	272	131	52	916	566	179	107	147	189
1	119	0	22	667	628	129	119	148	186
347	39	61	7	685	368	122	67	151	191
495	436	88	83	843	915	153	174	151	192
919	679	167	130	1116	895	206	173	151	193
61	1083	10	210	376	1398	70	270	154	194
533	932	100	173	1032	1403	190	258	156	197
1405	955	260	188	1601	1204	300	238	156	200
1166	1	216	0	1484	404	277	79	156	200
997	938	181	181	1315	1258	234	237	159	204
1425	137	253	25	1673	382	295	67	159	206
1104	1281	204	245	1364	1572	254	300	160	203
1042	1	201	0	1186	145	231	30	162	207
933	962	177	182	1232	1311	233	247	167	214
1090	764	205	143	1482	1252	277	233	167	215
1	929	0	167	290	1171	56	212	170	216
391	850	75	167	681	1239	132	244	170	217
703	936	129	181	1086	1275	198	241	172	218
1143	670	209	120	1490	1040	268	183	172	220
1424	94	257	18	1669	390	300	73	172	221
427	94	77	18	1461	1505	276	295	174	221
287	517	52	99	667	865	126	166	175	222
656	1147	123	216	1002	1492	184	277	175	223
1080	914	213	175	1566	1414	300	263	176	223
544	618	106	116	798	920	157	176	177	227
755	249	147	51	1327	1221	253	232	177	228
1276	52	248	9	1444	241	281	47	180	229
335	205	62	36	655	453	122	83	181	230
626	961	116	177	879	1285	164	239	181	230
1119	601	211	103	1575	1076	300	195	183	232
724	10	131	1	1380	589	254	117	184	233
574	333	104	58	1071	957	195	172	185	234
1271	1120	236	215	1527	1489	285	285	185	235
1054	32	192	6	1341	318	249	63	185	235
17	404	4	72	362	920	72	167	186	237
341	382	67	72	511	566	104	111	186	238
227	990	42	187	692	1426	132	270	189	238
574	588	111	110	896	881	168	163	189	239
757	79	144	14	1090	632	200	114	189	240
1219	305	234	57	1596	553	300	102	190	240
360	592	64	113	513	746	95	145	194	244
817	10	158	2	1240	556	235	103	195	246
1275	1248	236	223	1620	1599	300	291	197	246
1054	408	215	87	1417	682	288	139	199	248
814	73	163	14	1210	446	237	82	200	249
1210	1348	237	246	1483	1618	291	300	200	249
382	441	69	85	590	666	108	128	203	252
590	64	108	10	801	275	150	52	203	253
683	714	126	132	958	1089	179	204	203	253
1251	859	243	155	1548	1178	300	215	205	254
167	306	30	56	490	651	90	120	206	256
1277	452	240	83	1594	1086	300	203	207	256
393	711	69	132	836	1667	152	300	208	257
901	736	166	150	1193	1085	218	213	208	258
655	71	121	14	963	375	177	70	210	259
882	1031	162	190	1300	1602	242	300	210	259
1345	1	251	0	1559	214	289	39	210	261
446	950	75	173	794	1496	141	276	213	262
240	216	40	37	549	524	94	91	213	262
606	351	104	65	1187	946	219	181	213	263
427	168	81	31	859	667	163	124	215	264
169	27	32	5	367	233	70	46	217	266
266	1015	50	186	663	1493	123	276	217	266
482	606	87	112	960	1157	173	211	221	272
917	417	165	85	1048	548	189	109	221	273
1	417	0	85	277	584	53	117	223	273
695	904	134	178	947	1153	179	223	223	273
907	518	170	94	1264	995	236	183	223	274
1	1234	0	239	264	1497	50	289	224	275
754	1053	149	194	1102	1396	214	259	226	277
1	480	0	92	264	742	51	143	228	279
75	102	15	19	478	758	99	155	230	281
695	625	146	119	950	877	196	169	231	282
899	38	186	8	1179	352	242	71	231	283
1022	1068	208	199	1478	1479	300	280	231	283
1	244	0	50	281	528	53	103	232	285
347	114	61	20	736	619	133	113	234	287
590	869	105	162	1271	1522	233	285	234	287
257	12	46	2	623	375	112	68	237	289
1382	570	254	109	1631	800	300	151	238	291
1	800	0	151	142	1314	29	245	239	291
214	867	45	170	532	1226	100	234	239	292
61	10	12	2	279	200	56	38	239	292
519	154	98	31	784	418	145	78	239	293
740	207	137	38	1006	507	185	93	239	294
1264	465	237	95	1535	1165	288	230	241	295
117	1173	22	222	481	1566	93	299	242	296
1	155	0	32	139	293	26	58	242	296
400	743	79	148	807	1241	161	248	242	297
24	233	4	46	539	961	99	179	245	299
62	80	13	16	1147	1027	224	189	248	302
746	1	134	0	1069	320	199	65	249	304
981	834	183	164	1405	1204	262	233	249	305
646	892	126	172	941	1198	178	228	252	309
307	979	58	177	725	1395	137	255	256	310
569	937	108	171	992	1388	188	257	256	311
964	433	183	78	1194	664	226	122	256	312
8	1058	1	193	703	1395	136	255	257	310
1	322	0	59	580	648	112	119	258	312
218	811	47	159	486	1352	100	266	260	314
486	459	100	86	668	641	135	121	260	315
837	790	166	151	1107	1057	217	202	260	316
459	76	88	14	943	702	182	136	262	317
943	366	182	63	1142	565	224	105	262	318
1298	1	258	0	1506	210	298	41	262	319
769	1141	150	229	1012	1384	198	277	264	319
1012	638	198	119	1235	860	241	162	264	320
338	780	66	151	966	1235	187	240	266	321
1188	1085	229	208	1380	1277	265	244	266	322
950	112	184	22	1188	349	229	67	266	322
1268	395	243	70	1567	850	300	153	266	323
1	850	0	153	102	951	22	175	267	323
4	63	1	12	293	588	61	118	267	324
548	458	102	90	1067	923	201	178	269	325
1019	260	192	48	1367	640	258	120	269	326
472	408	95	75	734	668	143	123	271	328
1	407	0	79	1167	1473	240	300	273	329
670	291	129	53	866	485	168	92	274	331
1227	1301	240	246	1469	1537	289	294	274	332
998	255	195	47	1249	506	244	96	274	332
1	399	0	78	197	592	36	114	277	333
761	200	146	36	1055	492	204	94	277	336
629	706	115	124	986	1046	181	188	280	337
1405	1407	254	255	1565	1566	283	284	283	340
69	86	12	16	299	314	56	60	284	342
40	163	9	29	283	385	60	76	286	343
844	1156	168	221	1031	1493	204	286	286	343
240	942	53	185	409	1092	83	213	286	344
409	408	83	81	660	658	134	132	286	345
109	1110	21	220	494	1415	96	276	288	345
1243	988	244	197	1549	1313	300	258	288	346
321	65	60	13	715	641	142	129	288	346
19	963	3	186	238	1199	42	228	289	347
193	253	34	53	647	1134	125	228	289	348
21	61	4	12	309	348	59	68	292	351
398	577	81	113	851	1049	168	204	294	352
1010	81	199	16	1269	336	245	62	294	354
1269	52	245	11	1489	271	287	53	294	355
463	876	85	174	931	1317	170	254	297	355
931	493	170	94	1357	922	250	174	297	356
165	56	38	11	379	271	79	53	299	358
287	678	62	133	746	1215	151	238	299	358
395	554	71	102	728	874	134	163	301	360
1110	674	218	132	1481	1014	286	195	302	361
694	709	141	138	1302	1014	259	195	303	361
473	1	95	0	694	221	141	46	303	364
748	749	151	151	1370	1483	272	296	305	364
1	352	0	64	155	506	26	90	306	366
339	703	62	145	638	1001	118	201	307	367
550	616	102	108	1046	1325	193	244	307	368
1000	401	191	72	1578	1022	300	187	308	368
1057	25	198	4	1396	382	260	70	309	370
1354	121	253	25	1607	459	300	88	309	371
869	71	166	15	1405	409	265	79	310	371
981	1	184	0	1355	371	254	69	311	373
1274	1063	238	201	1589	1421	300	271	311	373
449	13	91	2	1525	1012	300	187	313	374
1	1012	0	187	837	1568	159	295	314	374
1266	26	237	4	1534	342	284	59	315	377
1	1049	0	181	220	1699	40	300	316	377
220	1	40	0	341	122	65	25	316	378
610	511	119	93	931	977	180	182	317	379
907	335	176	62	1331	782	259	147	317	380
1031	491	197	91	1548	938	300	180	319	381
53	629	9	114	352	926	64	169	320	382
63	1380	10	253	360	1630	65	300	321	382
449	10	81	2	838	401	154	75	321	384
838	85	154	17	1119	364	206	69	321	385
382	49	70	10	1201	401	219	75	322	384
793	1	150	0	1136	344	213	65	323	386
966	140	182	26	1458	771	278	147	323	387
1394	461	267	93	1581	731	300	141	323	388
402	35	78	5	1130	326	205	61	324	386
902	689	169	133	1374	1029	258	196	325	388
1323	795	248	141	1604	1130	299	204	325	389
647	195	113	38	1319	1208	238	229	326	390
1241	470	224	91	1618	1159	300	224	326	391
1025	441	192	85	1551	1029	290	196	327	391
552	753	116	152	1019	1200	205	237	328	392
1019	1141	205	213	1444	1564	284	292	328	393
86	864	15	172	820	1200	159	237	329	392
