b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1071	119	214	21	1427	483	286	94	4	1291
123	884	26	181	348	1128	74	234	42	2119
22	161	5	33	585	747	116	151	34	2770
1	955	0	197	388	1244	74	253	11	3198
295	446	58	89	604	769	123	158	75	3279
52	1	10	0	221	182	41	33	86	3350
1276	375	262	74	1469	565	300	112	23	3353
1	565	0	112	175	813	36	163	24	3353
1	569	0	105	195	761	40	145	43	3382
343	509	68	92	604	768	123	146	75	3382
188	790	39	160	688	1180	142	240	57	3531
188	762	39	153	668	1122	137	227	57	3777
1078	1	220	0	1504	465	300	88	62	4375
1	465	0	88	398	867	78	168	63	4375
1	412	0	77	294	604	59	116	46	4601
943	807	193	159	1460	1498	294	294	19	4842
1	862	0	168	354	1221	71	241	83	4947
