b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
587	429	124	85	931	643	191	127	48	953
354	302	71	64	979	675	200	141	93	388
354	648	71	130	1106	1158	225	234	93	389
370	15	70	3	625	275	121	53	111	723
237	672	43	137	625	1049	121	209	111	724
810	7	169	1	1291	497	272	102	134	292
788	575	164	114	1314	1092	277	219	134	293
249	990	55	209	571	1259	121	262	161	890
1029	682	212	141	1263	927	264	193	181	91
1029	1048	212	208	1263	1293	264	260	181	92
77	253	18	52	587	659	130	141	225	583
708	1101	149	226	1040	1439	222	297	228	1022
708	891	149	173	1065	1233	227	243	228	1024
458	1149	94	226	804	1419	169	283	278	1018
28	48	6	9	179	204	37	41	316	580
28	143	6	30	179	299	37	62	316	581
560	1190	117	237	853	1496	177	296	342	427
414	1155	83	236	575	1312	118	270	379	1061
381	1155	78	236	536	1306	112	269	406	1061
771	1145	164	223	1100	1452	234	287	452	954
930	35	188	8	1483	792	299	156	457	224
110	142	24	22	843	422	174	81	461	1123
71	9	14	2	624	320	128	64	525	500
390	1145	83	223	518	1281	111	253	557	954
46	690	9	144	236	908	49	191	580	807
46	338	9	69	232	552	48	115	580	808
