b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1262	1329	239	245	1526	1604	293	300	1966	60
92	308	19	59	307	517	61	101	1985	84
208	1126	43	209	501	1346	102	253	1906	141
252	1346	49	253	420	1514	81	285	1908	141
1072	1	207	0	1284	213	249	42	1911	142
183	158	31	30	615	369	115	72	1914	142
1228	585	238	112	1413	770	273	147	1917	142
599	821	114	156	769	991	146	188	1921	142
904	951	184	180	1151	1157	233	220	1923	142
120	1252	26	239	365	1497	78	291	1931	142
54	164	11	32	217	327	43	64	1937	143
1123	327	225	64	1311	515	261	100	1940	143
423	515	79	100	665	757	127	148	1943	143
1126	757	219	148	1449	1080	281	210	1946	143
414	1058	73	206	708	1345	131	262	1949	143
194	1317	39	257	412	1535	82	300	1951	143
566	29	99	5	933	396	169	75	1954	144
100	396	19	75	531	827	108	164	1958	144
520	788	100	155	1011	1228	193	240	1962	144
1315	1211	256	236	1555	1451	300	280	1967	144
651	1	127	0	903	253	177	50	1971	145
433	253	89	50	788	608	163	124	1973	145
1104	545	216	111	1526	914	300	184	1976	145
1	937	0	187	400	1334	86	272	1980	145
28	1	6	0	307	280	61	55	1985	146
735	259	141	51	1062	567	208	114	1988	146
501	567	94	114	885	951	169	189	1992	146
797	951	168	189	957	1111	198	219	1997	146
1258	1111	254	219	1482	1335	300	265	1999	146
1	1335	0	265	160	1494	35	300	2000	146
865	1	169	0	1372	459	265	87	2004	147
611	444	121	84	1035	870	204	167	2012	147
