b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
603	1219	117	230	875	1573	166	299	56	27
283	1169	60	225	572	1529	118	295	59	30
1237	614	241	121	1445	823	278	159	104	58
927	708	183	142	1248	1118	247	226	107	62
406	825	75	158	666	1116	132	221	118	68
913	1040	178	203	1363	1380	268	276	118	68
652	1066	127	213	818	1279	162	256	130	74
1259	442	242	86	1473	620	284	121	133	77
723	1147	142	233	921	1478	184	300	136	79
72	444	13	83	281	934	57	178	35	81
719	60	140	12	851	217	170	47	142	87
148	1	31	0	319	203	68	43	144	89
977	1046	191	200	1456	1321	278	252	146	92
1057	1010	206	194	1292	1253	245	234	147	93
824	354	165	68	1020	627	204	123	149	97
