b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
459	582	90	126	696	843	138	179	403	54
258	1247	54	259	429	1440	90	300	20	86
1206	161	249	30	1473	335	300	65	334	105
739	249	157	55	1117	614	241	136	623	126
1111	740	229	157	1431	1192	292	252	429	147
1029	648	206	135	1527	1162	300	232	353	150
666	29	144	6	1066	453	231	97	858	282
992	933	200	190	1457	1375	299	283	481	371
1294	1	265	0	1462	177	300	36	481	372
68	167	14	34	665	665	138	139	482	372
235	473	46	101	572	980	112	202	219	378
379	245	81	57	986	710	206	154	489	412
386	64	83	12	1450	1139	297	227	398	419
1308	885	276	187	1421	1002	300	212	679	439
685	357	149	75	898	561	196	120	379	462
744	727	176	155	965	876	225	188	488	498
1010	5	216	1	1322	319	274	60	960	506
114	44	25	9	655	407	138	85	839	516
803	917	166	195	1002	1061	207	225	550	548
4	314	1	68	340	657	67	138	957	557
673	787	141	158	1060	1195	224	243	789	574
191	272	45	54	1004	899	218	190	42	580
16	445	3	91	324	687	60	134	129	629
305	445	66	92	673	661	142	138	98	632
13	995	2	206	624	1328	127	277	742	659
666	1010	144	219	1033	1305	224	284	858	796
649	82	139	17	860	316	181	64	990	886
227	1032	47	216	848	1353	178	283	701	933
781	1069	158	230	1219	1376	244	290	346	935
