b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
938	358	173	68	1184	655	220	124	1746	228
250	906	39	178	491	1143	84	222	1778	211
428	1067	82	208	750	1382	150	274	1789	313
1445	139	256	24	1651	372	300	72	1793	274
376	800	65	151	584	995	110	193	1795	358
757	1145	133	208	923	1374	170	259	2093	91
900	400	166	77	1077	551	203	109	2114	301
400	735	76	134	674	984	125	185	2163	94
733	518	140	102	1494	1191	294	246	2190	276
574	684	115	125	762	1167	148	219	2195	140
496	651	87	117	873	952	161	177	2196	140
939	410	177	80	1533	695	298	140	2198	353
1278	1151	240	214	1556	1448	299	276	2199	190
85	1	18	0	1390	1571	264	300	2200	191
25	257	6	46	561	827	106	164	2201	192
88	952	16	192	323	1172	61	234	2273	301
691	83	139	17	1523	858	298	172	2429	352
1098	856	202	169	1384	1120	263	224	2541	145
1025	6	179	1	1264	245	228	50	2542	145
455	197	83	42	697	428	131	89	2789	13
683	141	126	28	835	296	158	61	2801	4
700	1019	129	194	839	1153	159	223	2801	16
831	1101	150	211	1205	1516	230	300	2802	16
1205	1	230	0	1347	141	261	31	2802	17
763	1039	142	197	1187	1528	226	300	2802	25
1187	1	226	0	1331	142	258	32	2802	26
582	1188	115	239	915	1491	184	300	2803	17
69	157	14	34	423	584	83	121	2803	17
1339	445	258	86	1507	619	292	122	2803	18
1045	290	202	55	1603	878	300	158	2805	2
222	1195	42	221	381	1347	75	252	2805	3
1	878	0	158	556	1567	98	285	2806	2
7	1012	1	182	298	1634	54	300	2807	5
298	1	54	0	1255	1547	239	299	2807	6
1259	6	240	1	1396	219	264	39	2807	7
1	339	0	63	577	1297	107	248	2809	7
984	1102	182	212	1421	1572	266	299	2809	8
618	113	114	23	984	546	182	103	2809	8
1	208	0	37	517	673	100	125	2810	9
689	290	128	53	1123	698	207	127	2810	10
1474	1	272	0	1632	160	300	28	2810	11
1	160	0	28	638	843	120	160	2811	11
1397	1175	265	221	1573	1513	300	287	2811	11
788	243	149	46	956	434	184	84	2811	12
721	391	138	76	1130	899	217	174	2812	12
1222	48	235	10	1547	372	300	78	2812	14
1	372	0	78	1485	1475	292	300	2813	14
1	40	0	9	642	721	124	142	2814	15
293	296	58	56	789	622	147	118	2815	16
1298	125	242	28	1459	286	274	60	2815	17
7	833	1	160	857	1521	169	300	2816	18
857	1	169	0	1197	353	235	69	2816	19
12	168	2	30	1526	1656	269	300	2817	20
1526	1	269	0	1672	156	300	33	2817	21
888	335	175	68	1589	1239	300	238	2818	21
1	156	0	33	241	393	46	77	2818	21
1210	1327	234	253	1321	1438	256	275	2818	23
191	617	37	118	882	1061	174	211	2818	24
584	659	109	126	778	852	152	169	2818	663
6	1243	1	239	327	1581	58	300	2819	21
47	148	8	25	1131	1289	213	245	2819	23
1306	163	248	28	1588	477	300	88	2819	25
814	956	158	184	1035	1322	198	255	2819	26
1	477	0	88	223	693	45	131	2820	25
987	1067	172	196	1498	1580	272	299	2820	602
1	154	0	29	1537	1555	288	300	2821	603
1105	921	205	176	1299	1110	245	215	2821	647
1	69	0	12	1196	1520	238	300	2822	604
1196	1	238	0	1512	323	299	64	2822	605
1	329	0	65	1073	1481	217	300	2823	605
1187	9	235	2	1533	364	298	68	2823	606
1	411	0	77	1038	1522	201	300	2824	606
1038	1	201	0	1545	503	300	101	2824	607
1	503	0	101	1122	1507	218	300	2825	607
1122	1	218	0	1538	377	300	76	2825	608
684	767	122	154	849	943	155	191	2826	600
1	377	0	76	1120	1561	202	300	2826	608
1120	1	202	0	1645	513	300	96	2826	609
1	513	0	96	918	1555	170	300	2827	609
918	1	170	0	1578	782	300	152	2827	610
1	782	0	152	658	1411	137	287	2828	610
662	1	138	0	1506	526	296	98	2828	611
66	1417	12	257	233	1585	48	292	2829	599
1	526	0	98	901	1581	169	300	2829	611
747	150	139	32	1121	542	220	117	2830	491
741	432	138	85	1550	1013	300	203	2830	518
179	360	36	65	808	1013	151	180	2830	612
1125	1035	221	184	1460	1465	283	265	2830	612
171	510	31	105	1192	1549	219	300	2831	613
1192	1	219	0	1489	347	274	63	2831	614
4	383	1	70	897	1524	181	292	2832	614
1056	1	209	0	1545	478	300	89	2832	615
1	478	0	89	462	888	90	167	2833	615
383	1438	66	271	586	1602	100	300	2834	615
586	1	100	0	1644	1193	300	229	2834	616
565	971	108	184	1059	1342	199	253	2835	615
1	1193	0	229	145	1375	28	264	2835	616
453	152	74	29	1707	997	300	182	2836	617
1	997	0	182	393	1371	68	251	2837	617
406	22	71	3	1690	1435	300	261	2837	618
4	1439	1	262	209	1660	36	300	2838	618
715	171	125	30	995	427	180	79	2838	619
1097	8	198	1	1631	296	289	53	2838	620
36	409	6	73	1345	1575	256	293	2839	620
246	1	45	0	1674	805	300	148	2840	621
5	810	1	149	1001	1643	180	300	2841	621
174	314	30	57	756	967	144	181	2842	622
1438	1163	268	216	1601	1345	300	251	2842	622
25	675	4	125	696	1256	131	234	2843	623
700	415	132	78	1592	1222	300	232	2843	624
1	1222	0	232	433	1569	78	300	2844	624
440	9	79	1	1612	1265	300	244	2844	625
1	1273	0	246	290	1547	56	300	2845	625
970	249	186	47	1514	851	291	166	2845	626
52	814	10	159	764	1550	142	300	2846	626
764	1	142	0	1596	757	300	147	2846	627
842	15	162	2	1548	440	293	84	2847	631
1344	997	256	196	1575	1200	300	232	2848	627
1	803	0	150	1039	1500	200	285	2848	630
201	1	42	0	1518	1160	300	231	2849	628
409	496	81	103	1418	1555	265	300	2850	195
1418	1	265	0	1610	193	300	35	2850	196
1	1160	0	231	271	1491	55	296	2850	628
457	36	90	7	1610	1160	300	216	2850	629
1	193	0	35	489	768	95	145	2851	196
1	1160	0	216	404	1601	76	300	2851	629
404	1	76	0	1414	677	264	128	2851	630
877	581	163	107	1597	1302	300	246	2852	631
1	1302	0	246	274	1600	49	299	2853	631
268	1	48	0	1608	959	300	179	2853	632
1	959	0	179	638	1608	111	295	2854	632
656	11	114	1	1713	922	300	161	2854	633
23	953	4	166	766	1671	138	300	2855	633
766	1	138	0	1082	361	198	69	2855	634
6	375	1	72	595	969	113	185	2856	634
96	969	16	185	1123	1607	202	300	2857	634
1123	1	202	0	1593	970	294	193	2857	635
1	171	0	34	1406	1508	274	299	2858	635
1	131	0	27	1067	1112	210	222	2859	636
184	1125	36	224	913	1533	171	300	2860	636
913	1	171	0	1618	720	300	136	2860	637
1	720	0	136	1317	1588	253	300	2861	637
573	84	109	14	1569	653	300	129	2861	638
1	653	0	129	868	1533	162	300	2862	638
868	1	162	0	1602	813	300	159	2862	639
1	813	0	159	268	1101	48	212	2863	639
437	422	77	83	601	587	109	115	2863	640
1166	789	216	156	1589	1247	300	248	2863	640
52	1304	5	259	339	1518	61	300	2864	640
339	1	61	0	1622	1260	300	236	2864	641
1	1260	0	236	329	1603	60	300	2865	641
329	1	60	0	1603	1137	300	213	2865	642
