b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
102	712	17	136	437	1055	93	213	1537	155
387	750	67	141	772	967	143	182	1873	1
1043	254	195	49	1500	613	280	118	1895	8
630	1066	113	197	952	1491	178	285	1907	20
1	575	0	117	159	730	29	146	1908	21
1112	10	197	2	1415	327	258	64	1908	22
320	398	66	80	496	596	96	116	1939	36
491	1415	90	262	722	1592	135	297	1942	37
523	568	102	103	710	778	136	143	1944	41
808	336	154	61	1033	534	194	100	1944	42
125	855	19	161	450	1182	90	231	1944	43
1	1448	0	265	169	1620	34	300	1954	45
1119	1200	216	220	1230	1311	238	242	1981	37
620	1	117	0	1230	610	238	121	1981	61
1037	699	200	127	1441	1070	280	202	1984	47
925	443	169	86	1333	920	244	173	2003	126
1398	1	258	0	1597	202	300	42	2004	125
436	168	76	29	1251	671	236	128	2004	127
157	47	30	7	363	292	73	60	2005	124
1	202	0	42	251	521	50	105	2005	125
163	803	31	151	403	1059	81	206	2005	127
514	11	93	2	790	296	149	61	2011	125
210	1	39	0	502	256	88	42	2016	120
253	488	50	101	409	706	76	137	2018	123
319	11	59	2	459	174	88	36	2019	125
902	622	177	119	1529	1232	300	241	2019	134
397	118	75	23	762	575	149	116	2019	135
506	1	92	0	847	217	153	44	2020	135
463	1025	83	193	847	1284	153	245	2020	147
246	1286	55	255	416	1481	91	297	2027	144
1	65	0	14	246	313	55	68	2027	150
493	902	90	164	802	1193	142	217	2037	154
710	679	124	127	1015	858	178	160	2061	164
753	125	143	22	1101	455	208	82	2067	167
1239	1098	233	202	1476	1329	281	249	2069	167
156	577	29	113	348	758	69	151	2082	177
996	1052	187	199	1186	1271	223	241	2082	178
166	30	30	6	442	362	80	71	2086	180
1051	122	195	25	1196	264	225	55	2131	185
634	1016	117	178	1126	1439	212	263	2152	92
394	454	70	90	946	642	179	131	2153	87
108	109	21	21	274	254	51	51	2175	76
843	1	161	0	1228	402	240	82	2180	78
1356	1015	261	203	1568	1230	300	243	2181	80
1110	1	214	0	1406	292	271	55	2181	81
1	1230	0	243	215	1444	47	290	2182	80
733	481	140	84	1490	1162	293	231	2190	84
1319	449	245	94	1543	700	289	145	2191	52
1	1175	0	225	118	1294	25	251	2208	47
548	1253	108	252	739	1440	148	291	2231	77
203	1262	38	242	358	1416	73	277	2243	184
1086	122	211	25	1284	302	250	62	2246	185
56	932	10	183	695	1533	136	300	2252	189
695	1	136	0	1049	105	203	22	2252	190
112	989	22	200	642	1403	120	281	2262	192
268	1234	52	245	679	1404	129	277	2266	193
657	819	119	155	1136	1224	207	229	2296	108
1328	1007	251	184	1545	1227	289	221	2375	197
1	326	0	63	112	441	22	85	2375	201
636	862	125	167	981	1225	199	242	2412	199
234	872	39	173	510	1149	95	231	2707	177
817	1113	147	209	954	1271	174	241	2707	178
