b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1335	1498	252	271	1432	1595	274	293	1551	54
1370	577	263	103	1564	981	299	178	1647	79
1266	84	230	16	1543	271	281	51	1790	90
1261	927	254	166	1397	1075	284	198	1795	101
1032	1299	196	246	1400	1581	261	300	1723	111
330	201	60	38	925	791	170	148	2116	138
1032	556	197	104	1208	709	237	139	2120	143
1187	562	234	105	1357	709	273	139	2125	143
427	562	90	105	597	709	129	139	2136	143
49	451	11	81	187	579	37	106	1910	145
1049	293	196	59	1643	685	300	134	1911	146
1	381	0	67	416	806	77	147	1935	147
903	426	177	79	1208	602	236	112	1917	156
902	219	171	40	1589	807	300	155	1937	162
48	787	9	143	513	977	95	178	1938	163
696	579	135	107	1498	1456	300	290	1963	170
411	800	83	163	780	1143	154	232	1964	171
74	19	15	3	324	163	66	33	1733	180
591	1407	123	247	727	1542	153	277	1807	186
951	1089	184	188	1481	1635	294	300	1814	187
883	157	164	32	1568	834	299	165	1813	188
1	844	0	167	606	1541	114	300	1814	188
606	1	114	0	808	222	151	41	1814	189
170	1120	32	213	887	1433	169	270	1820	190
163	1	33	0	270	120	57	26	1822	194
1387	1336	256	249	1577	1513	291	282	1810	198
68	677	12	125	307	908	61	172	1829	198
665	299	123	52	803	420	153	78	1821	199
510	286	91	49	998	967	190	186	1825	199
668	1091	134	200	881	1312	180	248	1986	201
416	1169	85	214	637	1503	126	273	1839	202
671	1	132	0	804	288	158	55	1839	203
361	910	70	173	720	1455	141	277	1847	204
44	869	11	174	207	1040	45	209	1848	205
142	869	27	174	343	1067	68	214	1887	205
965	95	183	16	1108	262	213	50	1883	216
745	1401	140	259	880	1536	170	289	1900	222
476	1401	94	259	652	1587	132	299	1905	222
633	498	113	89	773	631	141	116	1960	222
115	370	21	67	284	543	56	103	1903	225
859	1347	157	250	1403	1583	270	294	1903	225
855	273	156	51	1126	799	211	152	1903	227
830	1354	156	250	1257	1521	240	285	1955	228
1134	1354	215	250	1541	1521	299	285	1974	228
868	1423	159	258	1442	1651	265	300	1904	229
1442	1	265	0	1641	209	300	37	1904	230
1	209	0	37	512	817	102	157	1905	230
573	206	104	36	700	375	129	69	1913	230
786	928	163	172	951	1483	190	279	1980	235
363	987	71	184	571	1571	106	295	1981	235
505	204	97	35	1184	803	226	156	1981	236
681	195	134	33	1079	432	210	83	1982	236
788	372	139	70	1238	803	229	156	1989	236
1007	1411	191	253	1333	1628	256	299	1985	238
732	300	148	51	881	449	180	83	1986	239
454	103	90	21	1021	375	194	75	1987	240
654	661	124	127	1254	1497	243	287	1995	242
437	1128	88	208	787	1511	152	284	808	248
65	470	12	83	1173	1535	214	285	2006	248
793	56	154	13	933	223	182	45	808	249
1184	56	217	13	1396	242	258	49	2006	249
241	320	43	60	793	926	159	180	2007	250
682	85	126	10	828	232	154	38	2021	251
423	1349	77	249	754	1529	141	282	2022	251
40	1	8	0	1136	1143	228	229	2008	259
23	1087	4	210	547	1526	112	300	2019	260
5	142	1	30	568	604	102	118	2020	262
222	1278	41	248	488	1546	94	300	1691	263
1002	827	191	168	1234	1045	242	216	2120	267
49	818	9	166	194	1014	41	210	2124	267
1135	818	223	166	1364	1025	274	213	2125	267
148	638	28	129	597	1018	129	211	2136	267
