b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
390	930	75	180	647	1186	126	233	4926	173
215	1174	43	231	652	1415	125	278	7463	233
831	944	159	189	967	1092	185	215	7226	287
1249	25	240	4	1471	244	286	52	7253	317
402	613	80	131	870	1136	183	247	7256	333
374	624	78	124	551	794	118	165	114	334
886	619	180	123	1089	828	226	172	1731	334
873	619	184	123	1088	828	231	172	7256	334
597	932	117	182	922	1215	185	241	7248	625
1	1032	0	204	198	1215	41	241	7325	625
230	54	42	10	1261	1447	247	299	7190	764
1119	54	218	10	1513	473	297	99	8461	764
1	844	0	172	614	1447	122	299	8462	764
1261	6	247	1	1515	250	300	54	7190	765
1	250	0	54	476	828	98	177	7191	765
614	6	122	1	1352	832	276	178	8462	765
958	545	189	110	1541	1064	300	216	7892	821
1180	1	224	0	1489	319	284	66	7893	821
6	756	1	151	317	1010	66	204	7831	852
774	834	166	169	1072	1148	229	233	7831	852
777	771	153	154	1112	1116	225	227	7844	852
1	1010	0	204	130	1136	27	231	7845	852
1348	953	257	190	1552	1154	300	232	7848	869
1	1154	0	232	162	1318	33	268	7849	869
1323	951	249	193	1454	1091	275	225	8244	1027
404	240	78	51	506	415	101	92	10408	1361
