b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
235	808	40	151	637	1208	102	212	3	3120
803	1459	146	250	912	1565	168	271	17	50
1419	773	256	146	1632	1027	294	191	26	3408
1	170	0	29	128	298	24	53	98	49
1384	87	248	17	1616	238	292	49	102	355
1099	589	195	107	1584	1398	290	262	103	349
252	1067	45	188	563	1373	102	243	104	363
1554	1312	275	238	1686	1449	300	264	112	1340
916	614	178	120	1122	735	218	143	115	396
1149	311	209	55	1625	660	293	118	123	905
1106	44	189	8	1240	171	213	31	127	21
885	1472	167	273	1033	1622	194	300	142	2536
1033	4	194	1	1419	325	269	63	142	2537
116	1269	23	222	794	1669	148	300	153	3249
794	1	148	0	1012	209	188	38	153	3250
1291	560	232	110	1402	671	253	131	313	1975
24	12	5	2	215	205	41	38	314	1969
