b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
335	1077	73	216	636	1395	135	283	95	25
1172	56	237	12	1466	368	299	76	14	108
8	368	1	76	202	532	38	107	15	108
209	663	42	127	575	1047	113	205	93	128
357	1353	65	272	760	1492	144	300	25	221
1227	823	264	165	1385	972	297	196	32	223
560	706	121	147	1214	1417	262	300	146	242
123	429	26	92	851	1176	177	247	71	275
937	639	195	124	1408	1098	291	217	71	278
402	996	84	197	691	1285	147	260	79	283
140	1172	29	229	482	1497	102	299	7	307
580	32	127	7	1404	844	300	175	6	308
482	1	102	0	664	208	142	44	7	308
829	724	171	148	1097	986	224	200	14	308
728	1244	153	267	885	1399	186	300	177	314
