b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
598	1132	128	227	943	1493	197	300	385	274
1003	684	209	138	1242	933	257	186	385	275
1	1017	0	211	508	1488	104	300	318	277
962	665	199	135	1439	1039	298	215	344	277
1105	658	237	133	1391	908	296	185	574	277
8	161	2	26	446	517	98	103	328	278
928	1291	197	260	1239	1504	251	299	259	279
647	17	135	4	1083	507	224	102	280	279
313	384	65	65	557	609	109	106	346	280
830	427	165	85	1462	837	298	175	284	281
8	856	2	180	700	1458	140	300	285	281
722	10	144	2	1570	739	300	135	285	282
5	744	1	136	966	1632	177	300	286	282
966	1	177	0	1419	449	261	86	286	283
907	366	179	68	1521	991	300	196	441	283
1123	356	219	66	1520	724	300	140	446	283
1	724	0	140	466	1147	94	228	447	283
202	1089	42	214	620	1491	131	300	434	285
389	55	74	11	707	352	138	71	429	287
6	418	1	83	489	835	96	165	248	291
