b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
859	478	182	100	1404	967	300	203	214	29
1	680	0	144	615	1208	133	256	218	29
836	1311	175	242	1120	1621	228	300	252	155
201	55	40	12	1502	1293	300	259	253	156
1	1293	0	259	191	1487	40	300	254	156
191	1	40	0	1560	1220	300	235	254	157
1	1204	0	232	376	1520	77	297	255	157
428	1	86	0	1506	1019	300	204	255	158
1	1019	0	204	543	1537	99	300	256	158
543	1	99	0	659	118	120	21	256	159
934	852	181	164	1547	1345	297	258	254	189
1	262	0	54	457	656	92	137	255	370
811	277	164	53	1519	1031	300	199	29	604
1	1031	0	199	509	1537	102	300	30	604
237	674	47	129	845	1537	170	300	313	604
509	1	102	0	1503	1001	300	199	30	605
1	1001	0	199	506	1506	101	300	31	605
506	1	101	0	842	347	169	69	31	606
735	742	146	142	1252	1102	248	210	30	608
944	138	195	27	1441	487	293	96	337	699
797	1307	167	244	1122	1596	229	300	337	701
1122	1	229	0	1256	134	257	28	337	702
507	987	105	194	1151	1522	232	300	338	703
1151	1	232	0	1494	331	300	66	338	704
1	331	0	66	241	522	47	104	339	704
528	474	106	94	975	948	193	185	340	704
539	1063	108	208	995	1527	200	300	272	2037
995	1	200	0	1479	401	300	82	272	2038
1	401	0	82	1341	1481	264	298	273	2038
799	890	157	181	1114	1207	216	241	275	2038
128	1	25	0	363	193	76	42	274	2039
111	258	24	46	590	739	111	133	601	2182
389	447	83	83	579	636	121	121	162	2499
20	473	5	89	219	673	46	129	162	2503
817	1	170	0	1180	330	243	66	589	2506
147	861	33	171	794	1518	161	300	161	2510
794	1	161	0	1190	386	237	73	161	2511
