b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1222	312	244	58	1523	610	300	113	674	83
304	506	65	96	601	834	126	163	1157	95
1204	629	240	122	1513	941	298	180	674	121
854	1	160	0	1058	208	196	37	675	121
834	1285	164	246	1075	1533	214	299	699	195
493	327	108	60	690	530	149	102	703	210
1	313	0	64	508	742	102	150	709	213
1	916	0	174	118	1018	26	197	708	217
847	434	173	78	1031	627	210	115	696	364
1000	719	208	136	1452	1169	300	228	672	449
1	1169	0	228	187	1345	39	265	673	449
994	419	207	89	1454	873	300	181	691	480
1	873	0	181	584	1460	119	300	692	480
584	1	119	0	1154	588	238	120	692	481
370	551	77	109	1037	1019	217	205	690	486
636	114	132	22	809	284	169	58	691	486
384	877	85	165	650	1552	142	300	707	641
8	1202	2	236	229	1378	50	273	708	643
748	321	161	69	981	552	215	122	708	644
878	8	180	1	1406	389	283	78	696	680
1020	971	202	178	1370	1407	270	262	695	685
834	206	164	40	1173	544	235	112	699	693
476	308	96	62	789	696	160	141	696	694
522	700	103	142	648	825	126	165	698	694
1	597	0	109	558	1174	112	223	696	730
1	1166	0	221	330	1483	62	281	697	730
112	1105	26	209	512	1483	101	281	698	730
476	555	96	108	796	842	161	164	696	731
818	1375	164	265	1022	1559	204	300	697	750
522	459	103	83	648	585	126	106	698	771
1	664	0	125	597	1270	118	245	701	862
1121	12	226	2	1354	236	272	45	702	862
