b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
471	91	87	17	886	465	161	83	10	33
397	343	86	71	639	868	136	181	189	229
656	1075	143	224	1025	1446	214	295	549	766
440	907	96	184	868	1293	183	263	1535	670
1316	1183	252	244	1538	1345	297	279	1665	3531
1	252	0	53	674	530	140	109	1733	3563
408	9	86	2	828	437	173	92	1823	3478
250	838	54	179	532	1202	116	257	1830	3483
276	1	59	0	620	330	132	71	1830	3486
418	727	87	143	631	931	131	186	2082	3645
1059	634	216	128	1406	1018	284	205	2359	828
290	1	59	0	670	337	134	66	2359	829
666	734	140	148	1213	979	251	197	2360	828
263	1	57	0	556	321	116	62	2360	829
706	1097	151	221	885	1300	189	263	2556	895
1	432	0	90	798	1106	160	231	3369	229
39	1022	7	202	229	1220	47	249	4293	3752
625	1099	124	214	1045	1529	208	300	4300	2305
1045	1	208	0	1509	463	300	90	4300	2306
1	463	0	90	618	1008	121	194	4301	2306
143	1	30	0	310	145	65	29	4439	92
644	728	136	147	1077	1116	217	220	4494	1792
893	546	186	109	1115	825	228	162	4503	876
429	533	87	106	693	820	137	161	4513	876
944	307	199	65	1202	536	252	110	4583	1165
37	205	7	42	293	490	64	104	5459	2583
15	611	3	125	151	748	30	152	5858	1582
