b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
324	159	63	26	577	521	113	93	2503	1
142	889	30	174	260	1011	54	199	2590	9
300	706	66	144	515	938	109	190	5	32
841	762	163	142	1096	1280	218	248	10	33
765	69	160	12	957	308	195	56	2671	33
312	1255	58	214	623	1643	121	291	2122	35
209	714	46	111	1114	1689	221	300	4338	35
1219	429	243	79	1486	675	300	132	4338	36
1	675	0	132	894	1471	187	300	4339	36
907	23	189	3	1283	334	268	69	4339	37
276	663	61	131	438	816	96	164	2559	51
493	376	102	77	1317	1456	274	300	2589	59
1	111	0	23	884	1097	180	224	2590	60
907	1019	185	208	1133	1318	231	269	2590	61
1156	779	236	158	1485	1133	300	226	2590	62
1	1133	0	226	213	1350	38	265	2591	62
244	94	44	17	449	326	83	61	2591	63
675	1137	135	225	1030	1497	209	300	4377	66
1030	1	209	0	1470	593	300	120	4377	67
1	593	0	120	400	946	75	187	4378	67
1329	230	262	44	1483	384	295	77	488	69
10	384	2	77	196	566	42	116	489	69
335	1003	67	202	751	1423	152	287	3810	69
1228	585	240	120	1504	915	297	185	4248	69
1173	92	240	18	1338	265	271	51	3805	70
1129	1003	230	202	1243	1117	253	225	2109	72
464	90	88	18	797	471	159	99	338	74
903	1020	179	191	1333	1436	271	276	3069	88
781	1118	156	213	1192	1508	240	291	1355	89
895	88	179	17	1334	612	269	124	1355	90
849	834	171	167	1030	1021	205	202	1596	90
77	685	14	138	479	1075	92	214	1686	90
728	796	143	149	964	1173	187	219	1246	104
1	891	0	168	276	1173	51	219	1598	104
142	1383	30	274	260	1507	54	300	2590	114
793	320	157	60	1546	1139	299	218	4305	125
1	1147	0	219	331	1561	67	300	4306	125
1	375	0	74	284	760	58	153	3504	126
1248	319	252	61	1512	574	300	107	2661	155
79	1	14	0	434	352	89	74	2662	156
416	1387	83	265	555	1559	111	300	393	166
559	4	112	1	801	272	160	55	393	167
1033	665	213	127	1328	961	276	190	2940	177
126	436	29	82	374	1034	78	200	2589	184
177	1270	34	252	320	1413	62	280	3320	194
432	570	89	111	1025	850	215	168	4538	194
