b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1	521	0	103	1171	1484	232	299	670	8
802	903	170	172	1412	1479	294	292	665	9
859	755	165	148	1478	1388	289	282	666	10
231	133	44	25	1161	1173	218	223	667	11
444	479	92	97	1487	1347	300	267	668	12
753	1165	157	226	1141	1552	232	300	676	29
1141	1	232	0	1517	371	300	67	676	30
1	371	0	67	384	837	75	159	677	30
283	131	52	23	1549	1317	300	256	678	30
9	1374	2	267	166	1532	35	300	679	30
166	1	35	0	706	641	137	127	679	31
15	39	3	7	998	816	199	160	680	32
1194	149	236	30	1381	343	272	67	680	33
