b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1	1161	0	224	214	1377	44	268	69	130
214	187	44	37	1480	1217	299	243	69	131
73	1202	15	240	467	1478	100	299	70	131
471	1	101	0	796	314	165	61	70	132
882	873	180	171	1222	1118	244	219	636	208
1	909	0	178	450	1404	87	273	637	208
518	1255	102	241	894	1542	178	300	528	283
894	1	178	0	1484	537	300	110	528	284
1	537	0	110	1022	1482	206	300	529	284
930	27	189	6	1183	210	238	39	529	285
766	104	157	19	1436	789	297	159	421	431
12	429	2	88	1280	1519	238	294	422	491
1434	1	264	0	1560	113	292	26	422	492
1	113	0	26	1180	1206	239	244	423	492
1180	1011	239	196	1482	1265	298	245	423	493
36	1271	6	246	306	1523	63	299	424	493
508	792	101	155	1193	1325	237	259	424	494
1049	474	204	95	1531	879	298	173	403	495
11	879	2	173	345	1183	68	234	404	495
1193	1202	237	234	1498	1485	300	292	424	497
38	1	8	0	662	671	125	127	425	498
724	921	145	178	1333	1459	264	281	426	499
264	1	52	0	1529	1166	298	224	427	504
9	1171	2	225	395	1545	81	300	428	504
21	1274	4	236	425	1595	86	300	426	505
1020	894	201	165	1540	1274	296	236	428	505
395	15	81	3	799	461	156	83	428	505
26	644	5	129	353	1046	71	206	533	536
1	1007	0	196	566	1483	118	292	331	680
903	439	182	88	1469	910	300	185	386	904
1	910	0	185	584	1418	122	293	387	904
34	1017	8	192	308	1285	60	243	65	924
498	668	103	134	782	987	162	201	226	967
