b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
42	708	8	143	216	877	41	174	6	354
1	679	0	141	147	810	32	169	234	469
319	946	59	172	573	1189	113	223	149	611
259	1120	50	229	897	1472	182	298	150	612
1040	1	215	0	1353	285	277	53	150	613
332	47	72	9	1520	1255	300	239	151	613
1	1255	0	239	304	1558	61	300	152	613
304	1	61	0	1482	1214	300	246	152	614
1	1214	0	246	264	1478	54	300	153	614
269	5	55	1	1464	1255	300	257	153	615
4	1255	1	257	190	1453	42	300	154	615
190	1	42	0	1571	1363	300	253	154	616
1	1363	0	253	230	1576	51	300	155	616
230	1	51	0	1500	1054	300	208	155	617
1	1054	0	208	549	1528	106	300	156	617
549	1	106	0	1430	886	275	171	156	618
183	180	38	32	855	855	172	165	166	618
22	493	4	94	1387	1403	290	284	157	619
5	1269	1	257	240	1473	51	300	158	619
240	1	51	0	1463	807	300	163	158	620
1	807	0	163	428	1168	89	235	159	620
