b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1256	1104	247	215	1423	1221	278	238	59	151
857	641	166	121	1486	1277	279	236	57	160
1290	406	267	83	1473	574	300	114	6	242
1147	941	221	193	1526	1361	300	280	256	245
94	1	19	0	351	298	73	60	257	246
653	442	139	92	1452	1179	300	244	257	247
13	1141	3	235	292	1378	57	279	6	248
888	252	169	48	1248	752	243	150	256	249
630	1365	125	279	736	1471	146	300	303	254
836	1198	161	236	1190	1539	226	300	100	255
736	1	146	0	1519	822	300	161	303	255
1	822	0	161	685	1539	133	300	304	255
605	1407	115	262	1020	1596	198	300	101	256
1505	1440	269	269	1661	1596	300	300	109	256
791	1354	142	251	1526	1596	271	300	115	256
80	1472	15	275	205	1596	40	300	174	256
68	1472	13	275	193	1596	38	300	198	256
1019	1472	192	275	1144	1596	217	300	202	256
1301	1472	260	275	1426	1596	285	300	205	256
736	1472	142	275	861	1596	167	300	219	256
198	1310	35	243	502	1596	95	300	258	256
685	1	133	0	1570	943	300	177	304	256
1	943	0	177	662	1596	124	300	305	256
1	39	0	7	634	543	121	102	110	257
167	1	33	0	677	716	127	131	174	257
723	156	141	30	969	689	186	126	194	257
155	1	31	0	587	752	116	138	198	257
1106	1	210	0	1542	716	293	131	202	257
9	222	2	43	403	760	69	139	206	257
823	1	160	0	1314	830	254	154	219	257
801	156	145	30	1043	689	189	126	245	257
464	1	88	0	1583	1184	300	221	258	257
1	1184	0	221	383	1605	72	299	259	257
624	1	117	0	1599	1198	300	224	305	257
1	1198	0	224	425	1610	78	300	306	257
1181	510	211	92	1583	981	294	188	183	258
6	959	1	184	783	1636	134	300	184	258
1091	328	203	59	1541	1066	289	202	221	258
486	441	93	79	1420	1426	268	262	259	258
425	1	78	0	1608	1351	300	249	306	258
1	1351	0	249	288	1636	52	300	307	258
305	538	60	105	978	1140	188	220	35	259
321	475	63	93	1032	1140	197	220	63	259
1	592	0	114	681	1140	130	220	267	259
288	1	52	0	564	303	103	57	307	259
467	561	83	114	671	861	115	160	15	260
288	6	59	1	1610	1314	300	238	247	260
1	1314	0	238	364	1676	62	300	248	260
371	674	59	106	1189	1693	198	281	111	261
364	1	62	0	1800	1408	300	233	248	261
1	1385	0	228	369	1787	67	300	249	261
44	231	9	37	313	497	50	76	265	261
369	1	67	0	1603	1239	300	233	249	262
1	1239	0	233	380	1623	65	300	250	262
380	1	65	0	1664	1363	300	248	250	263
1	1363	0	248	332	1689	53	300	251	263
332	1	53	0	1682	1359	300	247	251	264
1	1359	0	247	266	1661	45	300	252	264
405	1133	74	203	942	1661	170	300	266	264
603	1	112	0	1366	630	242	104	146	265
266	1	45	0	926	668	154	110	252	265
942	1	170	0	1601	663	279	109	266	265
1256	131	247	27	1446	257	283	52	59	283
1240	449	248	95	1491	702	300	148	191	495
1	702	0	148	226	931	43	193	192	495
