b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
65	772	14	148	379	1009	76	195	210	358
698	1257	134	255	880	1445	171	293	60	780
543	336	105	68	786	632	156	130	218	981
188	670	35	143	806	1417	162	298	222	2768
320	1	66	0	1614	1352	300	245	104	2799
8	1352	2	245	410	1656	77	300	105	2799
885	1265	159	223	1352	1671	244	300	105	2800
423	1	79	0	807	749	145	134	105	2800
115	916	23	185	787	1163	151	236	217	3163
10	1160	2	242	216	1376	44	286	97	3494
229	1	42	0	353	129	66	25	22	3953
465	967	82	198	623	1125	114	230	25	3990
424	6	85	1	913	611	180	119	101	4066
870	402	164	80	1251	915	240	183	200	4112
