b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
253	401	49	87	526	615	104	134	489	23
988	1082	198	227	1311	1292	263	273	780	26
786	1265	151	266	991	1418	193	299	781	26
359	862	68	176	878	1313	169	270	425	27
72	1074	14	221	1018	1432	187	289	426	27
174	1	31	0	623	415	118	85	429	28
1349	415	255	85	1523	568	285	115	429	28
248	803	44	172	658	1013	130	216	177	30
962	1013	181	216	1206	1213	232	262	178	30
1366	1224	258	265	1572	1412	295	300	179	30
840	261	149	55	1332	683	251	148	436	30
830	483	142	104	1272	799	223	171	464	30
874	1	165	0	1329	445	262	96	482	30
1133	319	204	67	1300	481	238	101	114	31
94	254	21	52	1031	750	201	160	205	31
312	950	55	201	594	1201	100	245	432	31
1004	1198	185	244	1169	1368	213	275	433	31
883	1176	167	247	1149	1400	226	300	493	32
272	728	58	140	536	975	112	197	203	33
80	1201	15	248	369	1459	72	300	265	33
1	276	0	56	332	606	61	117	438	33
84	615	18	132	831	991	171	217	136	34
606	991	117	217	899	1267	183	281	137	34
1208	135	226	27	1545	415	300	92	277	34
1	415	0	92	435	807	88	176	278	34
403	786	82	171	833	1161	179	259	102	35
768	571	141	122	935	707	172	153	127	35
1335	576	241	123	1480	707	273	153	162	35
713	1213	139	271	835	1337	168	300	250	35
1159	53	213	11	1286	163	241	37	269	36
1208	248	226	57	1369	419	262	95	277	36
1318	1196	249	260	1566	1375	297	300	336	36
545	493	111	111	1191	690	232	152	350	36
865	855	155	188	1234	1207	232	262	500	36
323	1	54	0	648	307	124	70	337	37
449	1168	92	261	618	1331	131	300	128	39
243	282	45	67	443	468	84	103	262	39
25	525	5	116	365	773	79	172	270	39
438	125	81	29	554	251	109	59	337	39
819	9	157	2	916	109	179	25	766	39
1228	684	221	146	1395	829	259	180	565	40
100	9	21	2	320	261	69	54	203	41
1270	967	247	197	1568	1270	300	252	350	41
1349	55	255	12	1523	208	285	42	429	41
312	665	55	141	539	883	94	178	432	41
1120	234	225	47	1387	417	278	88	484	41
1203	1	205	0	1689	195	300	41	383	42
1	195	0	41	579	574	110	118	384	42
154	1	30	0	794	497	161	116	319	43
301	773	64	178	1023	1045	207	238	321	43
794	1061	149	242	1271	1303	251	300	322	43
1110	825	213	178	1525	1128	299	246	482	44
742	468	148	100	1298	644	264	141	522	44
1006	1120	187	244	1308	1370	253	300	774	44
952	813	179	185	1148	992	222	227	222	45
374	626	80	141	810	923	177	212	249	45
329	34	69	8	737	396	152	88	776	45
810	1182	161	272	952	1310	190	299	780	45
545	18	108	4	827	301	168	67	775	46
118	251	25	55	403	519	86	115	776	46
421	468	89	96	1302	820	266	176	207	47
934	749	173	160	1325	1065	245	223	215	47
520	1065	96	223	996	1432	189	300	216	47
1251	531	254	111	1473	732	300	154	207	48
799	819	160	171	1107	1059	220	222	209	48
206	1112	36	234	504	1404	96	296	211	48
1318	70	252	16	1573	347	300	78	217	48
154	47	26	11	400	222	75	52	217	48
995	407	181	89	1110	521	203	110	218	48
1134	632	208	132	1364	814	254	175	218	49
465	814	90	175	1137	1367	220	286	219	49
114	1	25	0	383	248	75	47	220	50
921	413	173	76	1380	834	266	168	222	50
265	834	47	168	604	1225	120	253	223	50
1154	755	222	175	1282	852	245	197	188	51
863	164	159	38	1060	344	201	80	191	51
415	3	81	1	738	393	154	92	192	51
1151	497	220	115	1504	835	298	193	193	51
1192	121	234	28	1431	344	287	80	198	51
457	1	96	0	1132	395	221	76	194	52
56	532	10	103	312	755	62	150	265	52
1280	862	246	173	1529	1101	300	226	274	52
1	1101	0	226	890	1452	169	300	275	52
278	381	59	76	1339	934	261	192	274	53
890	1	169	0	1360	482	267	98	275	53
1253	1068	242	220	1492	1286	295	269	275	53
1107	1	208	0	1436	336	274	67	430	53
852	254	166	52	1466	751	300	164	278	54
584	439	106	94	836	869	156	190	279	54
193	872	38	191	463	1109	88	241	280	54
966	1109	182	241	1132	1247	215	272	281	54
1310	928	244	203	1547	1196	295	260	578	54
193	651	38	141	463	896	88	192	280	55
905	148	178	35	1224	407	241	90	316	55
1201	1083	238	230	1487	1335	299	284	528	55
757	418	156	92	1015	588	204	127	577	55
1	467	0	96	379	776	84	169	315	56
317	719	63	156	759	1154	150	244	316	56
70	1	16	0	212	157	46	33	529	56
957	327	176	64	1071	441	202	90	485	57
1221	713	227	152	1549	1035	297	226	346	58
1340	603	262	126	1547	827	300	167	129	59
1	827	0	167	197	1026	39	206	130	59
688	1017	126	204	1325	1246	250	250	130	59
1119	608	209	127	1574	1022	294	205	335	59
549	93	112	20	1200	282	233	58	350	59
151	657	29	124	753	1249	152	248	332	60
767	58	138	11	1322	385	249	70	339	60
729	6	145	1	837	114	167	23	441	61
602	471	118	105	1154	871	241	199	529	61
275	1075	59	212	604	1290	127	259	93	62
5	1286	1	258	167	1447	40	297	96	62
732	1	146	0	1299	476	261	97	556	62
138	190	34	42	384	441	82	91	96	63
1107	556	217	119	1438	763	276	160	315	63
167	501	31	106	498	808	104	176	564	64
36	22	6	5	222	184	45	41	581	64
733	361	148	84	1061	636	208	140	758	65
1	698	0	154	1268	1387	252	300	760	65
1268	1	252	0	1477	203	297	43	760	66
1	203	0	43	1402	1164	274	244	761	66
1169	1133	208	237	1424	1379	266	295	565	67
1074	104	212	24	1279	324	253	68	761	67
568	397	112	82	764	562	150	117	131	69
734	816	143	165	1115	1021	220	213	581	69
249	816	50	165	564	1053	121	221	587	69
1050	153	199	29	1374	428	269	91	616	70
1133	739	215	155	1481	1186	283	252	624	70
12	1210	2	262	248	1388	52	300	594	71
1239	1066	233	231	1525	1355	296	294	615	71
1145	797	221	177	1347	996	262	218	619	71
270	582	58	128	596	797	125	177	619	71
177	891	36	194	424	1092	81	235	579	72
275	370	50	84	437	497	77	109	618	72
1181	792	222	160	1487	1070	282	220	623	74
752	505	161	107	1012	717	212	153	102	75
296	482	55	104	777	824	150	171	197	76
1006	891	187	191	1383	1190	269	259	774	77
513	701	108	148	737	887	152	190	776	77
545	985	108	214	868	1319	177	288	775	78
1021	78	205	18	1457	563	298	119	776	78
810	836	161	182	982	1007	197	219	780	78
1247	558	254	120	1483	695	300	149	775	79
8	28	2	5	394	611	84	132	776	79
272	1070	58	215	536	1317	112	272	203	80
530	299	108	68	851	609	179	137	138	81
1227	767	233	148	1454	972	278	190	613	82
802	1094	158	218	946	1229	187	246	614	82
1041	1130	207	225	1184	1254	235	250	703	82
589	505	120	101	1023	891	209	186	724	84
270	1214	58	252	570	1424	124	300	619	85
376	26	76	5	1170	528	231	113	723	85
171	580	35	121	375	797	75	166	649	86
986	975	194	208	1265	1337	250	285	761	86
637	49	127	11	1042	404	211	86	639	88
578	967	101	193	1131	1437	208	292	677	90
250	846	54	163	1158	1268	233	256	672	93
9	1246	2	251	709	1471	131	299	673	93
660	358	128	60	920	579	179	110	678	93
1	616	0	117	360	979	75	193	679	93
124	277	26	51	619	509	115	102	699	94
1084	707	209	136	1490	1039	285	202	309	97
544	3	115	1	1110	520	234	109	690	101
357	334	70	68	1135	695	217	144	229	133
541	695	94	144	682	819	120	167	230	133
744	399	145	80	1022	652	207	137	764	137
37	628	8	131	291	811	55	169	765	137
1316	811	252	169	1553	1041	300	215	765	137
1	1041	0	215	438	1461	88	300	766	137
368	1131	75	233	598	1314	122	272	704	140
75	1	15	0	936	860	171	162	436	143
1442	200	274	41	1578	313	300	64	538	160
398	72	79	15	674	292	132	61	557	161
1503	357	274	77	1620	515	300	110	560	161
1	515	0	110	239	708	42	147	561	161
83	1	17	0	675	140	134	31	198	165
1357	380	242	75	1668	669	298	128	404	165
494	928	95	189	611	1063	120	216	101	171
90	47	18	10	361	322	73	69	158	171
978	37	186	8	1317	306	257	65	240	171
1215	47	237	10	1420	212	274	45	253	171
1321	754	263	156	1521	942	300	191	740	247
92	264	21	55	635	751	130	155	740	247
1126	507	216	114	1431	813	282	181	720	255
769	837	149	174	1068	1098	207	229	603	257
998	1140	175	237	1223	1278	221	270	719	257
353	380	73	71	1517	1109	300	238	718	272
1047	835	186	173	1223	968	221	205	719	272
709	1030	130	219	1024	1346	200	291	720	272
852	1100	163	239	1182	1380	231	300	331	482
401	1064	85	213	769	1272	161	258	136	484
395	1	80	0	713	232	141	49	407	486
1335	474	266	100	1524	636	300	130	407	486
578	81	109	18	1119	458	215	96	409	486
669	30	124	7	963	272	183	58	391	498
637	928	127	201	1037	1277	210	273	639	522
