b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
302	535	59	110	1002	1309	202	267	95	11
522	441	99	89	1318	1073	259	220	96	11
766	583	143	110	1534	1390	299	274	92	14
163	48	31	7	344	299	68	55	94	14
1140	316	226	57	1479	641	293	123	95	14
152	84	31	17	609	524	117	103	93	15
429	760	83	152	945	1368	181	264	94	15
1007	932	192	183	1197	1169	233	233	94	16
1238	419	240	83	1488	673	296	139	94	17
1086	1207	218	251	1264	1417	255	295	80	19
665	58	130	10	1487	895	300	184	81	20
1	895	0	184	488	1441	95	293	82	20
1	766	0	149	725	1542	139	300	77	23
841	387	160	70	1269	1117	247	217	78	23
1349	997	271	200	1481	1133	300	230	56	24
1	1138	0	231	242	1388	51	284	57	24
1143	464	226	89	1337	704	268	141	109	24
497	5	98	1	1279	1177	250	238	8	27
1	167	0	32	343	595	67	114	9	27
284	199	47	37	614	519	112	104	6	29
977	759	202	156	1365	1265	283	260	202	37
572	761	115	156	1306	1487	257	299	57	40
1312	1	259	0	1442	117	286	24	57	41
1172	620	218	121	1592	1075	298	210	180	42
18	1130	3	221	413	1522	79	298	181	42
1163	685	211	134	1629	1265	300	247	184	42
1	1265	0	247	231	1493	46	292	185	42
379	232	72	47	695	557	134	110	181	43
235	1	47	0	714	486	139	94	185	43
1238	1080	240	222	1500	1357	298	282	94	51
1002	1	203	0	1509	421	300	82	4	54
461	1043	92	202	885	1510	179	300	112	55
885	1	179	0	1155	228	233	46	112	56
424	686	83	142	698	1071	135	215	179	60
607	529	118	104	1200	1166	232	230	72	68
457	662	97	139	607	1136	129	237	298	69
1238	189	240	39	1488	461	296	99	94	92
1	461	0	99	175	587	33	125	95	92
964	238	191	49	1215	481	242	98	141	105
539	1	104	0	845	270	168	56	141	106
1051	1	204	0	1371	406	268	78	92	107
1	300	0	56	609	926	117	180	93	107
67	895	13	184	685	1459	136	300	137	108
