b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
330	6	66	1	835	551	168	115	19	294
1	317	0	61	267	836	53	164	26	307
67	895	13	171	375	1230	78	243	90	783
933	599	178	120	1205	886	233	177	315	287
1242	272	262	53	1398	430	297	88	333	286
1000	802	195	160	1303	1166	257	231	349	293
14	599	3	120	272	881	54	176	358	287
1004	565	201	111	1333	894	268	176	382	769
12	375	2	72	320	708	59	134	384	166
597	992	118	197	1085	1377	219	273	407	282
334	828	66	164	723	1174	141	230	415	173
700	359	143	69	1065	708	210	134	448	166
700	138	143	27	864	285	172	53	448	475
