b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
898	575	177	117	1107	797	221	164	3006	82
112	301	22	63	350	514	69	107	2028	139
1	150	0	25	332	733	66	141	3003	348
1254	777	254	155	1501	1065	300	208	1191	395
602	1273	119	252	861	1502	172	298	2814	395
269	765	53	164	441	1009	88	214	3387	401
400	579	75	123	795	1011	148	202	2336	403
920	285	187	54	1142	568	229	109	2804	420
532	1238	106	254	802	1447	162	298	3583	535
142	482	29	101	463	841	95	178	2315	625
1119	553	210	117	1366	793	260	164	62	655
413	246	78	53	795	600	148	119	2336	865
1373	685	275	137	1495	822	300	165	1823	1000
170	1	34	0	409	239	79	47	1317	1021
1131	1296	227	271	1272	1443	254	299	3720	1022
52	1067	10	220	304	1337	58	271	3718	1029
856	576	174	118	1080	794	222	164	2028	1131
1169	348	233	76	1332	504	265	107	2312	1650
394	926	82	200	568	1095	116	233	3865	1897
1119	179	227	41	1315	371	269	82	2927	1930
899	359	178	75	1155	557	234	117	2867	1936
278	312	54	66	529	569	100	114	2010	2001
1203	150	250	31	1438	395	297	80	3009	2014
855	95	162	21	1061	283	204	60	3783	2144
458	939	88	211	683	1168	130	254	1896	2219
1002	771	205	162	1174	955	239	201	2927	2307
1002	445	205	97	1143	611	232	130	2927	2310
1	643	0	128	326	898	63	176	2557	2363
142	1047	29	228	397	1308	82	281	2315	2549
268	196	52	40	406	341	76	65	4146	2591
475	1077	94	233	840	1409	165	298	2554	2733
1275	1280	251	267	1456	1467	283	300	1898	2788
630	277	114	52	858	522	160	101	1893	2789
1231	357	239	74	1514	669	296	137	2984	3005
1	679	0	139	248	888	45	178	2985	3005
433	172	85	33	775	478	154	95	2554	3169
475	613	94	129	964	1136	188	233	2554	3466
706	684	145	138	1435	1097	300	227	2555	3470
694	391	139	79	930	633	188	129	2564	3509
439	116	89	26	1496	1364	300	280	793	3511
1	21	0	4	482	401	100	83	794	3512
558	982	112	199	826	1191	169	246	791	3514
5	47	1	10	308	353	67	76	2957	3526
165	7	29	1	763	596	142	111	3679	3545
29	61	6	11	1284	1181	246	223	2979	3573
439	186	89	39	1496	1417	300	288	793	3577
17	9	4	2	482	452	100	94	794	3578
439	50	90	11	894	358	179	71	2666	3582
337	564	65	115	551	797	108	161	3174	3621
1065	1	207	0	1190	126	232	25	2799	3632
530	972	106	201	826	1227	169	259	791	3633
1231	1191	239	249	1465	1444	286	300	2984	3646
1	79	0	15	248	357	45	64	2985	3647
747	432	148	91	1055	727	212	153	2385	3728
530	1165	106	249	826	1378	169	296	791	3736
327	1053	68	218	512	1255	103	256	262	3742
25	375	5	81	512	764	103	159	262	3743
241	626	50	126	621	1092	132	226	3319	3766
1146	1038	234	202	1470	1505	299	298	265	3773
657	1038	131	202	1010	1517	203	300	1094	3773
889	219	181	44	1316	665	263	132	1072	3776
1002	255	192	52	1382	661	265	131	3486	3776
473	666	95	132	1000	1179	207	238	3318	3777
1153	624	233	128	1499	1020	300	206	267	3778
136	10	30	2	473	360	95	70	270	3779
903	153	184	31	1460	841	297	168	262	3792
42	807	8	161	378	1147	75	229	263	3792
1033	82	198	17	1354	321	260	62	3486	3793
879	449	186	92	1224	811	257	166	107	3813
1	237	0	49	536	750	100	144	3025	3893
914	757	179	148	1278	1289	250	253	104	3900
359	455	76	93	1400	1353	283	269	3504	3903
1	1353	0	269	155	1506	32	300	3505	3903
155	1	32	0	872	739	165	137	3505	3904
950	474	191	102	1498	948	300	195	2432	3929
