b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1002	1203	192	234	1246	1423	238	277	6	143
116	1167	21	239	348	1411	63	284	31	260
842	196	157	45	1332	560	250	116	38	146
381	40	82	8	657	149	140	31	39	238
1066	1024	191	210	1224	1172	225	243	47	203
1	812	0	173	395	1094	82	233	48	206
349	1125	67	242	582	1346	117	291	52	272
951	1	201	0	1113	132	235	28	57	200
1	1001	0	211	573	1395	122	299	57	257
256	835	51	173	660	1224	140	266	57	272
1186	1128	243	240	1328	1269	271	268	61	202
109	402	22	82	449	628	92	134	71	253
234	941	46	192	832	1138	167	234	71	285
904	368	187	82	1366	813	287	181	73	255
428	232	88	43	764	562	158	110	73	295
1281	236	245	57	1555	452	300	102	142	240
48	1408	8	270	230	1568	42	300	143	242
1202	716	239	139	1516	1063	300	206	146	209
191	1062	39	227	433	1269	87	268	147	202
1	1063	0	206	736	1551	142	300	147	209
736	1	142	0	988	235	189	44	147	210
