b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1	538	0	96	1190	1027	223	186	8	70
855	957	160	180	1221	1273	228	239	49	77
679	484	127	87	1016	1189	193	230	72	318
830	720	156	149	1223	993	231	198	75	320
1221	109	235	24	1537	548	300	114	76	322
698	272	139	49	1142	532	232	104	35	397
691	151	133	27	862	325	166	61	36	399
1176	191	224	36	1351	372	260	74	37	405
549	658	104	121	1130	1154	218	217	34	424
939	1098	184	215	1385	1548	269	300	87	500
372	1338	67	272	494	1472	93	300	92	508
846	600	164	117	1204	939	235	186	90	510
1138	12	219	2	1544	469	299	89	91	515
812	1153	150	220	1123	1537	214	300	83	560
1123	1	214	0	1513	658	300	142	83	561
51	754	11	163	696	1381	143	289	84	561
768	13	158	2	991	470	196	89	84	562
