b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
203	796	43	163	423	1064	90	220	71	207
683	309	142	66	992	601	204	126	212	304
1076	998	228	200	1384	1329	297	274	233	98
1173	513	247	109	1311	639	278	137	235	426
24	1137	4	238	295	1439	59	300	356	431
295	1	59	0	543	249	101	43	356	432
1203	627	242	125	1465	893	294	178	387	18
1	332	0	62	150	475	32	93	393	401
1	324	0	61	321	554	67	110	393	403
375	474	75	93	586	756	119	155	396	62
134	1042	28	209	382	1293	83	264	402	183
1131	183	235	37	1372	393	286	80	433	183
4	729	1	156	195	916	41	196	464	100
87	994	19	199	513	1488	109	300	495	134
643	997	126	196	896	1284	179	255	504	272
1174	1	242	0	1303	153	267	30	530	412
910	30	182	7	1263	403	259	88	530	442
