b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
977	406	205	82	1192	595	255	127	4687	4
1213	1177	244	254	1331	1322	270	288	4524	24
157	1177	33	254	300	1304	66	284	4525	24
379	216	77	51	682	506	141	114	5928	30
351	131	74	28	453	233	99	53	14727	53
768	192	155	46	1076	572	222	133	10537	54
1048	31	206	7	1241	263	252	63	5767	57
417	299	81	64	734	398	142	85	10518	62
1192	884	239	187	1386	1095	283	234	5244	70
1573	307	275	64	1668	405	298	88	5398	70
213	379	40	81	337	501	69	110	5431	71
288	1157	57	263	415	1284	90	296	4619	75
875	896	170	203	1068	1088	216	250	5968	75
46	896	7	203	171	1284	39	296	5969	75
576	1119	111	262	697	1221	137	285	7360	85
1573	250	275	57	1668	345	298	80	5398	88
880	1	171	0	1068	189	216	46	5968	89
615	715	124	159	780	857	164	194	4687	98
834	75	169	17	961	201	200	47	6884	98
915	949	184	202	1027	1060	212	230	9492	101
883	1	172	0	1047	172	212	42	5968	102
1213	338	244	76	1331	475	270	108	4524	112
157	338	33	76	300	456	66	104	4525	112
213	931	40	213	334	1050	68	241	5431	119
1150	839	215	185	1420	1145	283	260	13272	128
288	137	57	29	440	289	96	68	4619	198
218	1088	41	222	359	1226	74	255	5431	205
983	1311	206	273	1185	1412	253	298	4687	209
615	62	124	13	1192	201	255	48	4687	210
