b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
395	16	80	4	856	396	175	82	8	1069
367	480	73	93	772	767	158	155	8	2397
1147	1151	238	214	1441	1462	300	278	49	2496
795	1171	164	230	1174	1535	240	300	96	2743
1174	1	240	0	1493	320	300	61	96	2744
1	320	0	61	1278	1514	262	300	97	2744
1278	1	262	0	1444	159	300	35	97	2745
274	229	52	50	1327	785	269	162	99	2745
52	801	10	165	834	1274	174	265	100	2745
1035	1	213	0	1471	434	300	87	100	2746
321	1148	62	225	699	1525	137	300	101	2746
1049	944	208	186	1505	1375	300	275	101	2747
699	1	137	0	908	209	178	41	101	2747
105	1	24	0	523	572	115	117	102	2748
523	467	115	93	1417	1300	299	262	102	2749
172	59	34	10	393	271	79	52	103	2750
1040	271	208	52	1454	607	291	118	106	2750
434	676	85	129	718	920	143	178	108	2813
1046	1252	204	259	1247	1442	247	300	78	2822
220	1220	42	252	432	1442	87	300	79	2822
210	702	39	145	1153	1208	234	250	86	2822
356	57	72	12	540	244	109	49	122	2831
410	1320	81	260	598	1505	123	300	19	2852
825	341	162	69	1473	762	289	150	131	2852
1145	372	227	66	1456	733	287	137	148	2856
1376	1374	268	271	1492	1513	293	300	76	2857
199	181	41	39	532	546	106	112	1	2860
1195	534	229	103	1542	894	300	178	129	2861
1	894	0	178	773	1401	162	282	130	2861
