b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
454	1252	87	237	588	1420	113	270	150	34
154	1401	29	261	321	1621	61	299	150	63
144	441	29	84	284	583	57	112	212	70
469	505	95	88	712	897	145	167	823	74
890	1203	164	232	1282	1575	235	300	85	129
1282	1	235	0	1680	401	300	65	85	130
1	401	0	65	787	1194	150	217	86	130
764	1	150	0	1266	524	249	103	448	137
693	240	132	46	1074	524	207	103	449	137
8	425	1	77	568	830	109	154	389	184
731	643	141	118	1611	1042	300	189	389	184
1	1042	0	189	217	1259	43	231	390	184
1	378	0	67	744	1055	136	190	211	197
132	54	26	10	418	379	82	76	65	212
516	448	105	89	1078	853	208	164	774	212
378	28	70	5	782	450	145	82	681	219
97	18	19	3	231	152	44	28	649	226
468	193	92	38	924	571	176	104	824	236
417	695	87	141	747	1053	156	214	346	241
