b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
378	549	75	108	1236	1488	245	296	62	272
947	176	186	32	1544	678	298	127	63	277
740	8	148	1	1481	585	300	121	167	297
1	585	0	121	174	760	32	152	168	297
416	804	80	162	751	1212	149	246	269	303
1068	16	226	3	1424	351	300	73	15	321
294	278	60	58	962	1253	200	264	38	410
1250	1025	254	204	1482	1231	299	245	40	413
96	359	18	72	330	586	68	120	41	414
1035	629	208	127	1491	1080	300	218	86	420
1	1089	0	220	327	1438	58	281	87	420
584	1	117	0	1002	465	202	95	86	421
1291	431	258	75	1501	618	300	112	34	662
10	696	2	128	685	1209	142	229	35	662
1183	720	230	141	1480	1055	283	201	298	759
337	1203	67	232	693	1559	135	300	299	759
805	27	159	5	1507	332	300	67	299	760
1	332	0	67	311	591	56	115	300	760
39	565	8	105	391	888	73	162	242	854
667	974	125	191	1098	1331	211	259	242	855
175	24	32	4	1053	908	204	176	69	878
834	286	167	58	1430	904	286	180	13	880
184	1	40	0	1380	973	281	197	91	881
831	1055	162	218	1014	1290	201	268	170	883
978	722	191	143	1513	1392	300	277	158	886
458	569	96	109	1241	1429	261	283	159	887
396	91	73	18	1477	1109	299	226	160	889
1	1140	0	233	230	1372	50	281	161	889
757	37	157	7	1289	594	268	122	161	892
768	965	158	188	1313	1522	269	300	79	903
1	183	0	36	198	373	40	75	80	904
4	1	1	0	660	522	144	112	134	916
252	861	50	177	696	1441	142	297	164	916
79	736	15	150	829	1460	173	300	195	920
396	1283	81	257	563	1449	117	292	202	921
783	961	147	193	1220	1487	240	300	205	922
26	692	5	135	497	1164	93	224	197	923
615	1001	127	198	833	1304	166	253	202	924
20	412	3	78	1338	1536	260	300	64	926
1338	1	260	0	1491	171	289	33	64	927
1123	300	232	57	1455	566	299	110	88	927
566	116	112	22	1462	797	300	162	11	928
222	742	47	149	893	995	191	204	12	928
372	1304	77	259	585	1515	120	300	14	928
585	1	120	0	1179	731	244	149	14	929
385	715	79	146	1096	1368	229	283	17	929
599	103	121	22	848	299	171	61	18	930
30	1003	5	209	251	1238	47	254	20	930
457	545	97	110	1423	1375	297	281	21	931
93	1	21	0	1467	1016	300	207	22	932
1	1016	0	207	682	1469	140	300	23	932
682	1	140	0	1424	579	298	117	23	933
1	609	0	122	1108	1487	229	300	24	933
227	320	47	62	1437	1214	300	245	25	934
