b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
289	487	64	102	836	1081	178	233	1935	575
1202	839	254	180	1428	1071	300	228	265	590
236	11	48	2	651	392	131	80	640	654
601	86	125	18	1441	539	294	111	642	654
521	769	106	161	931	1395	191	299	656	654
416	1	87	0	690	301	138	59	640	655
727	1	153	0	1109	301	224	59	642	655
1132	996	243	218	1407	1242	298	270	263	1130
805	125	160	28	1030	350	208	77	707	1239
1075	79	201	17	1316	401	254	87	2151	1242
758	213	146	47	894	380	175	83	2158	1242
1042	1168	208	252	1304	1382	267	299	1156	2325
79	1	18	0	269	201	58	42	217	2326
608	1	126	0	802	201	167	42	373	2326
1308	1	268	0	1456	151	300	32	1156	2326
1109	734	226	157	1204	896	248	194	1559	2646
927	749	184	161	1051	896	212	194	2165	2646
803	470	164	99	912	606	187	128	645	3308
368	500	74	109	516	650	105	141	1047	3523
1	835	0	181	295	1213	63	262	365	5392
911	565	183	127	1044	700	208	153	2374	5995
1087	565	215	127	1220	700	240	153	2389	5995
911	425	183	95	1044	558	208	120	2374	6011
1043	381	205	85	1220	558	240	120	2389	6011
1143	601	218	133	1321	781	252	167	1642	6085
