b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
208	345	34	68	582	524	100	101	567	516
270	118	49	21	804	493	154	93	1353	1287
1	129	0	23	214	339	41	63	1480	1287
661	291	137	57	870	503	181	101	1500	1702
539	1229	106	236	838	1394	159	265	2807	1747
70	1	13	0	355	361	72	71	2838	1031
1262	671	243	129	1563	1006	300	194	2839	1287
1209	117	243	24	1498	418	300	83	2840	1032
1	1006	0	194	421	1390	86	276	2840	1287
1	418	0	83	408	672	82	136	2841	1032
7	1182	1	232	209	1382	43	274	2843	1287
72	939	15	187	374	1206	75	241	2844	1031
1044	298	216	57	1342	546	273	104	3786	1748
470	649	94	127	1047	1024	198	196	4854	925
1130	274	213	48	1395	779	266	148	4854	926
1	654	0	124	282	1041	57	202	4855	926
700	1111	148	212	1008	1421	203	269	4858	925
1048	129	209	21	1355	531	270	100	4858	926
700	278	150	54	958	520	203	105	5870	1702
277	1	55	0	562	361	114	71	6460	1031
1	80	0	17	581	606	119	122	6462	1032
1	785	0	151	609	1397	124	277	6462	1287
252	90	53	19	647	555	130	111	6653	1900
807	280	156	54	996	453	192	87	6818	1748
1	53	0	10	212	266	41	51	6980	28
1110	1151	215	219	1337	1309	258	247	7108	925
1059	572	206	109	1493	934	288	178	7108	926
1189	649	236	127	1343	804	263	154	7109	925
517	779	102	148	717	1034	142	200	7109	926
289	274	54	48	1012	1037	197	201	7110	926
554	1151	107	219	780	1309	150	247	7161	925
503	572	98	109	936	934	180	178	7161	926
1100	298	233	57	1305	453	273	87	7187	1748
1255	958	269	194	1414	1110	300	223	9456	27
8	1110	2	223	352	1482	74	300	9457	27
352	1	74	0	741	423	151	83	9457	28
1140	1	210	0	1498	349	281	71	9842	226
1	710	0	139	409	1512	72	285	9842	925
440	125	88	24	1064	659	214	132	9847	968
593	151	109	30	1260	659	239	132	9857	968
1106	157	213	36	1363	467	265	96	10079	867
703	376	132	70	1110	1041	214	202	10288	926
837	649	159	127	1542	1151	288	219	10289	925
306	1158	61	220	1070	1590	208	300	10290	925
1070	1	208	0	1565	348	300	64	10290	926
1230	649	238	127	1379	799	264	153	10291	925
1	348	0	64	1088	1338	211	258	10291	926
36	649	7	127	301	1014	55	194	10292	925
451	129	83	21	754	1034	143	200	10292	926
677	395	134	73	1501	1317	300	260	11540	1287
418	1	79	0	1216	661	236	133	11542	1032
418	671	79	129	856	1216	166	239	11542	1287
106	226	20	44	756	645	150	130	11544	1032
33	938	6	181	356	1216	71	239	11544	1287
579	968	115	187	859	1216	171	239	11546	1287
450	649	85	127	710	960	131	183	12110	925
1	556	0	106	271	827	51	158	12111	926
1121	83	228	14	1361	339	273	63	12117	1287
982	1131	193	227	1302	1482	259	300	12310	27
1302	1	259	0	1509	215	299	41	12310	28
636	285	126	55	819	453	162	87	12807	1748
1067	293	205	56	1228	453	236	87	12881	1748
