b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
465	7	95	1	605	167	124	34	1372	57
662	611	131	121	992	1042	195	205	1485	60
675	130	128	23	1150	617	219	115	1794	58
213	1	46	0	431	205	91	42	2017	56
957	1046	186	204	1336	1491	267	300	2937	78
957	266	186	51	1408	738	282	152	2937	79
932	6	186	1	1483	518	300	106	3197	61
1309	1	256	0	1520	229	300	48	3339	37
1	229	0	48	186	414	36	84	3340	37
69	1192	15	233	351	1502	72	297	3343	34
410	219	85	43	1457	1137	294	225	3353	31
197	964	44	186	454	1355	96	264	3356	35
76	710	15	139	607	1300	123	259	3358	27
1	196	0	40	245	446	45	87	3359	33
198	133	41	26	507	451	105	90	3360	34
102	250	20	48	767	904	151	178	3365	30
847	504	160	100	1428	1027	273	203	3431	34
955	36	183	7	1504	572	287	108	3435	58
512	784	97	150	951	1219	186	236	3474	52
575	1	111	0	943	379	185	75	3474	53
1	220	0	42	244	472	46	90	3475	52
608	1029	125	204	925	1353	187	267	3476	53
279	1328	57	259	441	1474	89	288	3480	58
610	1	114	0	946	295	189	62	3482	56
933	433	179	81	1544	733	297	144	3483	35
57	1285	13	256	251	1495	53	300	3492	61
735	396	139	68	996	693	194	131	3500	46
897	841	166	163	1391	1042	266	205	3501	60
5	895	1	175	154	1042	31	205	3509	60
855	1192	188	235	1178	1506	256	300	3719	30
356	1276	71	253	636	1506	127	300	3720	30
262	423	52	79	433	619	88	121	3723	35
851	167	169	34	1420	787	275	151	3867	57
1	481	0	97	247	782	52	161	4091	8
627	1164	123	230	862	1416	171	279	4096	9
1172	612	221	123	1546	987	300	203	4112	4
114	214	19	37	323	428	60	79	4112	62
439	814	93	159	593	980	124	193	4119	16
652	475	136	99	1065	1020	224	211	4138	20
1010	851	190	169	1523	1269	295	253	4157	19
651	1132	133	229	872	1344	175	269	4161	38
1101	1104	226	222	1365	1344	279	269	4162	38
166	1009	34	196	430	1282	87	253	4178	54
894	1	181	0	1107	198	226	41	4179	55
1228	1203	231	237	1429	1415	271	279	4180	42
922	846	188	168	1466	1391	300	279	4185	44
180	399	36	69	491	713	99	134	4192	46
956	26	187	4	1330	598	262	114	4193	51
91	256	17	48	675	791	129	152	4194	51
1224	301	238	61	1357	431	266	88	4199	44
116	1073	22	207	409	1347	81	264	4213	17
120	1308	22	256	254	1443	48	282	4219	51
861	322	182	66	1419	859	300	179	4225	49
425	1	92	0	661	228	142	48	4225	50
13	259	2	48	703	1034	139	202	4229	48
1211	1	238	0	1512	309	299	63	4233	61
1	321	0	65	227	567	46	115	4234	61
279	1147	52	238	589	1441	116	300	4291	49
589	1	116	0	823	228	165	48	4291	50
850	579	169	114	1033	775	208	155	4394	70
803	766	156	153	1075	1043	216	214	4403	4
247	612	46	123	619	1047	122	215	4404	4
1094	92	215	17	1489	478	298	97	4404	39
943	92	200	17	1337	514	282	103	4405	39
558	249	114	51	890	514	183	103	4407	39
648	709	131	136	1476	1516	296	300	4414	62
1	24	0	4	873	934	175	187	4415	63
641	764	130	151	850	939	176	187	4432	61
607	265	123	52	1201	751	247	151	4436	116
1268	435	247	86	1522	682	300	138	4439	115
1	682	0	138	216	897	43	181	4440	115
993	392	200	76	1471	954	298	195	4450	82
1	196	0	40	133	313	24	63	4451	83
1327	1093	262	226	1507	1262	300	262	4453	84
193	1	40	0	496	309	103	65	4456	84
365	491	73	98	993	1265	205	259	4457	83
610	1	118	0	1014	418	199	81	4461	129
628	937	122	190	934	1276	186	259	4465	86
1103	517	233	104	1422	857	300	174	4469	128
651	1046	125	204	1066	1491	215	300	4470	78
628	240	120	46	1446	985	297	203	4470	79
381	328	78	65	1040	1103	209	226	4472	79
695	534	132	107	963	802	190	166	4474	91
1083	764	212	152	1406	1073	275	215	4474	112
747	182	153	34	1176	669	245	136	4481	85
173	727	35	140	980	1504	200	300	4483	81
988	38	202	8	1148	210	234	42	4483	82
1	212	0	45	521	775	107	160	4485	87
567	84	115	18	1410	954	288	195	4485	88
496	676	97	136	988	1215	201	248	4489	80
607	1	122	0	995	401	202	81	4489	81
418	312	84	64	612	506	125	104	4491	85
1312	434	258	83	1500	653	300	130	4496	16
1	473	0	92	486	973	103	192	4498	71
896	855	185	177	1382	1372	285	283	4500	65
92	891	18	187	581	1430	121	300	4500	66
47	887	9	179	539	1368	112	279	4517	113
1112	643	217	126	1250	787	242	153	4519	119
847	920	171	180	971	1068	196	210	4520	119
1372	1120	269	212	1516	1286	300	248	4523	117
888	738	182	143	1285	1049	264	211	4529	120
513	130	111	26	763	901	165	180	4531	120
952	1	183	0	1089	135	211	27	4533	120
933	961	181	182	1462	1483	287	280	4543	121
105	6	20	1	745	637	143	126	4546	114
31	91	7	18	560	637	111	126	4547	114
720	731	146	141	1054	1067	217	211	4548	125
719	350	150	71	901	540	187	109	4552	122
36	1019	7	196	206	1186	44	230	4552	134
904	1	181	0	1517	607	300	121	4554	114
668	1	133	0	1134	501	224	98	4556	125
207	243	40	47	596	435	117	84	4557	125
884	1	173	0	1205	307	236	62	4558	124
143	449	29	87	534	830	106	163	4559	123
843	1259	163	247	1063	1488	208	293	4559	123
1	465	0	97	527	1065	108	223	4561	110
750	278	148	52	1089	614	217	119	4571	134
186	249	37	46	644	717	125	135	4575	133
868	1096	174	212	1223	1473	249	289	4577	131
1072	1340	209	264	1229	1525	241	300	4582	132
