b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
338	945	68	191	650	1299	136	273	920	194
305	1057	61	214	650	1440	136	297	920	244
442	945	81	191	814	1385	163	291	984	194
415	1067	75	216	700	1436	140	296	984	244
233	606	45	129	392	811	79	174	1020	202
877	228	168	48	1168	620	235	136	1056	265
725	121	133	22	1132	572	217	117	1094	268
263	136	54	26	949	869	194	180	1095	268
400	367	72	80	1258	1019	246	216	1117	113
561	1173	105	233	719	1413	140	285	1124	53
667	6	136	1	965	374	198	83	1215	82
714	259	145	53	1470	1066	299	222	1228	137
1	112	0	22	289	399	61	83	1230	142
1	882	0	186	260	1164	51	239	1233	171
534	784	117	168	1043	1275	219	263	1237	171
1261	231	245	49	1517	538	300	117	1253	265
727	516	151	105	1019	858	212	178	1294	34
492	835	95	175	927	1425	183	299	1300	19
298	322	62	64	1191	1326	243	277	1326	124
298	487	62	102	1131	1405	232	299	1326	126
704	1140	144	239	825	1289	169	270	1330	124
1157	461	231	93	1487	858	300	178	1412	268
1199	349	227	71	1514	651	295	137	1431	100
188	595	35	125	442	874	87	184	1432	100
893	1	176	0	1467	228	300	52	1432	102
1315	100	275	22	1427	317	300	71	1460	82
1324	556	267	113	1476	744	300	154	1468	34
785	7	170	2	1426	595	300	126	1489	169
451	554	100	112	1279	1448	270	300	1489	170
1	595	0	126	740	1417	151	300	1490	169
1	169	0	38	945	1164	190	239	1490	171
902	945	181	191	1317	1429	270	300	1506	194
869	1057	174	214	1209	1440	248	297	1506	244
9	127	1	27	894	923	181	191	1507	195
9	208	1	42	894	980	181	204	1507	245
986	985	201	205	1442	1326	299	282	1507	245
1150	488	225	103	1476	1097	289	226	1511	106
1174	255	237	55	1487	787	300	165	1514	106
868	793	175	161	1456	1447	292	299	1516	105
659	803	130	164	1105	1447	218	299	1519	105
110	663	20	133	626	1447	120	299	1520	105
219	636	44	134	626	1087	120	224	1520	106
15	65	3	15	755	890	154	183	1628	14
384	1	82	0	1149	780	233	157	1628	15
984	1	188	0	1528	791	300	159	1798	194
922	872	176	182	1265	1393	246	292	1814	19
1017	602	195	128	1289	1017	251	214	2030	202
740	776	140	166	946	1017	181	214	2034	202
375	721	71	147	765	1172	148	239	2085	108
880	872	175	182	1268	1393	254	292	2313	19
873	1	178	0	1195	391	248	85	2601	234
509	96	112	21	1112	651	235	137	2787	100
43	349	9	71	354	651	76	137	2791	100
276	996	51	210	503	1300	96	272	2802	230
189	504	39	106	367	638	75	134	3047	152
690	1017	135	204	991	1306	194	260	3196	320
512	317	97	68	728	557	135	110	3234	251
406	133	84	26	1425	1070	287	216	3353	190
198	403	41	84	507	744	105	149	3360	189
1007	976	187	194	1400	1467	259	291	3412	301
373	407	78	83	787	887	154	173	3414	302
931	1	182	0	1175	360	230	73	3414	303
192	1189	39	254	343	1350	69	286	3416	300
795	544	156	110	1375	1352	271	269	3416	301
