b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1243	1167	253	218	1486	1374	300	258	4419	24
864	293	166	53	1566	995	300	182	486	27
511	605	92	108	1506	1000	284	183	487	27
907	826	172	153	1086	1031	206	192	488	123
907	768	172	140	1065	963	202	177	488	130
164	1028	34	204	499	1328	101	263	698	157
1245	6	244	1	1549	342	299	60	713	158
1	17	0	4	207	252	42	51	3233	188
183	1055	42	212	567	1455	126	300	3962	188
567	1	126	0	962	397	214	87	3962	189
416	145	91	29	603	364	136	80	4473	189
147	1	29	0	1103	688	212	123	3233	192
25	1022	5	184	809	1658	142	299	3234	192
834	185	147	36	956	323	173	65	3234	193
1464	1334	270	252	1631	1494	300	281	3234	194
5	519	1	87	154	681	29	118	687	195
460	1	87	0	834	381	147	61	3234	195
1200	1338	246	253	1453	1567	295	298	632	198
1245	935	244	191	1549	1271	299	250	713	203
828	462	166	90	1539	1163	300	222	697	218
1	1163	0	222	380	1542	78	300	698	218
380	1	78	0	605	238	122	46	698	219
