b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
478	723	90	134	1578	1518	300	287	3840	28
1047	1326	188	253	1247	1583	225	299	4373	73
1212	582	226	110	1621	925	300	174	4493	75
1159	1199	228	234	1444	1472	287	292	3565	76
1100	1294	222	254	1303	1472	263	292	4568	76
261	180	53	35	496	423	98	82	1088	79
140	633	27	117	611	1105	122	215	1584	79
1	741	0	142	323	1105	63	215	1585	79
540	633	103	117	962	1005	188	193	1785	79
601	633	112	117	1035	1008	198	194	1786	79
92	633	19	117	622	1105	126	215	1804	79
1084	633	216	117	1511	988	300	189	1805	79
1183	633	224	117	1558	947	300	183	1807	79
787	633	154	117	1287	1105	254	215	1808	79
1	183	0	36	454	423	89	82	1991	79
568	633	108	117	1079	1109	211	216	3300	79
211	655	39	122	473	1044	90	202	3350	79
1	636	0	118	524	1105	105	215	3559	79
151	124	30	23	344	481	67	91	514	84
571	124	120	23	787	506	162	96	4147	84
73	625	15	120	207	759	45	150	12	86
737	618	125	118	872	759	155	150	935	86
1137	618	201	118	1310	780	239	156	937	86
1156	605	210	115	1330	759	248	150	943	86
284	543	59	101	511	1035	109	211	964	86
734	625	146	120	941	934	191	189	966	86
957	609	179	116	1397	926	275	187	969	86
601	543	116	101	819	1035	165	211	974	86
1262	543	240	101	1377	759	265	150	983	86
199	605	34	115	415	926	81	187	990	86
70	543	15	101	311	1035	68	211	992	86
517	543	94	101	638	759	120	150	996	86
120	554	25	104	373	926	80	187	997	86
153	543	30	101	268	759	55	150	1121	86
754	543	140	101	989	1035	192	211	4192	86
1108	95	206	20	1211	198	227	41	4022	89
118	35	24	7	660	198	132	41	4027	89
110	95	22	20	213	198	43	41	4047	89
963	95	194	20	1066	198	215	41	4050	89
665	447	131	94	864	607	173	129	2336	90
652	212	113	43	798	339	145	71	2861	90
777	276	159	60	1120	875	231	188	526	91
558	432	104	91	913	665	182	142	527	91
466	1210	100	259	646	1350	137	286	992	91
1072	1177	207	251	1360	1346	267	285	1000	91
135	1	29	0	299	167	62	33	165	92
835	816	154	164	1317	1109	250	220	209	92
1274	1137	229	225	1425	1283	257	252	228	92
792	1	152	0	956	167	185	33	367	92
755	1	144	0	996	197	191	40	4386	93
6	1013	1	207	425	1441	88	296	1074	94
794	425	158	87	1254	863	251	176	4173	94
281	980	47	199	780	1441	149	296	4193	94
71	1043	13	203	628	1495	116	288	2564	95
447	1043	86	203	1045	1539	197	298	4231	95
134	152	27	32	290	320	61	70	3164	96
959	152	152	32	1118	320	187	70	4078	96
959	152	182	32	1137	320	221	70	4193	96
84	136	15	30	269	320	55	70	4213	96
6	172	1	37	143	320	31	70	4217	96
1056	136	194	30	1228	320	230	70	4218	96
303	1	62	0	776	361	162	77	4221	96
92	136	17	30	295	320	60	70	4224	96
1072	1	203	0	1395	320	273	70	4231	96
744	161	143	34	904	320	178	70	4240	96
380	1230	73	246	725	1540	134	300	359	103
725	1	134	0	996	263	184	49	359	104
1275	865	241	171	1578	1161	300	230	1305	110
1146	698	216	139	1567	1374	300	282	1306	119
134	1	27	0	523	368	107	76	1307	120
922	1173	183	245	1211	1461	238	300	1307	120
1211	1	238	0	1542	324	300	62	1307	121
900	183	175	38	1345	582	264	121	3963	132
772	183	143	38	1385	1295	264	262	3965	132
949	186	171	39	1392	1097	259	220	3966	132
1127	453	213	96	1301	640	249	133	3187	134
375	52	72	10	899	365	176	74	1027	138
303	159	56	30	739	553	149	117	1273	150
1028	35	196	7	1365	269	266	58	531	155
173	1240	33	252	454	1478	89	300	680	155
454	1	89	0	909	381	183	80	680	156
641	193	134	37	979	695	197	135	665	157
1	42	0	9	435	385	92	84	1238	163
75	255	16	52	472	625	96	129	35	165
394	255	81	52	829	625	169	129	49	165
861	244	162	50	1329	625	257	129	2550	165
1198	314	246	66	1362	458	278	95	2552	165
372	265	72	54	1003	947	203	196	2553	165
638	495	123	100	1047	865	209	179	710	168
795	799	147	149	1545	1528	300	300	482	180
642	802	121	150	1385	1528	273	300	2865	180
203	799	42	149	1078	1528	220	300	2902	180
20	3	4	1	1512	1344	300	270	483	181
1	1344	0	270	162	1488	33	300	484	181
1	131	0	26	1419	1488	284	300	2866	181
162	1	33	0	1486	1261	300	259	484	182
1	1261	0	259	199	1444	42	299	485	182
1	75	0	19	1181	1444	240	299	2867	182
246	638	49	135	450	822	88	173	166	183
466	398	100	86	646	599	137	126	992	183
1072	353	207	75	1360	595	267	125	1000	183
927	353	189	75	1211	595	248	125	1001	183
308	353	62	75	603	595	124	125	1003	183
809	353	161	75	1079	595	217	125	1092	183
