b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
101	868	18	177	538	1369	103	274	67	27
13	594	2	125	454	1120	93	234	71	32
1143	892	222	199	1484	1311	292	286	68	68
302	1	64	0	614	399	128	83	69	70
828	10	166	2	1164	350	240	80	73	132
1188	877	245	180	1455	1040	300	214	69	209
720	71	144	12	1024	368	210	77	70	548
771	305	146	63	1046	724	205	151	57	731
1304	490	265	103	1475	672	300	140	59	1096
8	672	2	140	227	929	48	195	60	1096
469	686	93	142	705	1028	141	210	53	1291
293	922	58	187	656	1256	137	259	28	1513
1	341	0	71	418	765	82	154	46	1586
678	1273	135	259	900	1475	180	300	59	1596
900	1	180	0	1066	176	217	38	59	1597
194	244	41	52	437	829	84	168	60	1616
