b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
583	498	113	101	1119	1236	217	248	195	1833
5	1147	1	238	406	1450	82	300	221	2103
406	1	82	0	773	349	156	73	221	2104
1159	1347	225	265	1326	1509	261	300	196	4694
1326	1	261	0	1491	163	300	39	196	4695
1	163	0	39	685	885	139	187	197	4695
82	350	20	76	557	810	113	171	198	4695
174	277	37	57	379	516	82	109	105	4752
702	1258	149	258	832	1382	174	282	104	5396
1223	436	231	86	1558	715	295	140	166	5412
1	715	0	140	275	975	54	191	167	5412
334	1284	67	246	682	1555	135	300	118	6018
682	1	135	0	1015	340	199	63	118	6019
1281	1	241	0	1601	220	295	38	117	6371
1	220	0	38	113	327	24	60	118	6371
1239	1064	254	200	1444	1269	299	245	319	6489
1	1269	0	245	282	1549	56	300	320	6489
151	283	32	48	368	459	80	87	105	6899
1130	1347	233	249	1401	1602	289	300	319	7163
1	44	0	10	371	392	74	78	320	7164
