b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1027	1191	200	248	1188	1366	236	287	8	375
1027	463	200	90	1188	724	236	145	8	428
1269	680	243	138	1422	848	275	173	57	86
554	544	105	101	932	985	176	187	454	469
1057	928	218	183	1256	1154	262	233	598	255
974	929	197	182	1134	1107	231	220	960	291
585	1230	118	246	839	1488	169	300	998	512
945	623	183	121	1220	920	243	186	1308	300
634	477	118	98	1121	924	219	193	1311	214
705	538	147	103	969	799	203	160	1785	360
5	1026	1	205	147	1167	29	232	1786	276
171	1005	39	209	548	1426	117	297	2176	261
745	245	145	48	1088	556	220	115	2214	375
1007	1239	202	259	1132	1366	229	287	3244	375
1019	611	204	120	1132	724	229	145	3244	428
1198	1074	228	213	1557	1538	293	300	3630	462
454	590	90	121	724	879	146	180	4031	368
1127	669	225	126	1290	833	257	158	4208	21
1094	751	215	150	1224	884	244	179	4455	437
1242	687	258	128	1440	904	300	173	5529	310
