b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1279	877	255	174	1424	1023	285	203	5787	46
579	800	116	159	791	1009	155	198	574	79
1032	281	201	54	1301	532	256	107	574	80
506	46	99	9	1010	929	200	189	702	97
592	795	116	155	1068	1302	212	265	702	100
584	71	116	14	1000	430	201	86	1438	199
324	627	68	129	667	1040	137	214	546	227
941	303	179	60	1302	612	242	116	556	233
1170	32	233	6	1458	724	294	148	567	234
916	342	173	64	1164	544	222	106	588	247
359	29	76	7	662	330	141	72	592	248
1188	306	235	64	1500	736	294	149	2371	278
215	841	43	162	804	1104	157	218	2294	307
866	739	180	154	1204	1053	245	215	632	319
89	1188	16	241	545	1464	103	292	633	319
501	433	100	86	939	849	182	163	646	331
1147	1	226	0	1498	592	300	118	711	338
35	993	5	199	477	1443	102	299	712	338
1	202	0	38	512	578	98	114	602	348
626	356	124	74	749	480	150	101	194	360
359	144	71	29	558	325	114	68	195	360
131	90	25	16	424	600	80	110	198	364
573	214	110	43	712	352	137	69	199	365
522	268	99	49	974	723	188	141	201	367
1109	440	212	93	1548	890	300	186	200	369
547	1207	94	242	786	1459	143	296	202	394
1251	981	244	199	1443	1210	278	239	6384	558
58	296	11	64	738	1146	152	240	6263	708
801	762	165	152	1185	1202	243	241	3872	1490
836	496	164	105	1152	810	227	167	4086	1836
550	973	106	184	927	1378	179	263	1605	2363
50	1237	8	249	381	1475	75	294	1633	2393
50	1138	8	237	381	1384	75	284	1633	2424
