b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
0	495	0	99	914	1487	189	300	1125	60
705	360	135	66	1128	866	227	175	2329	1
1053	703	205	143	1383	922	269	181	2336	64
910	633	179	133	1512	855	294	177	2839	14
537	741	105	155	798	938	152	191	4453	52
1103	537	211	109	1318	874	251	172	5229	31
746	760	143	159	897	911	170	186	5385	52
216	1074	43	224	667	1406	131	292	5450	14
1132	1115	232	232	1320	1324	272	276	5555	32
717	1117	145	232	1073	1406	216	292	5795	14
898	227	172	50	1217	514	231	104	6081	19
599	0	121	0	778	165	158	34	6385	24
