b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
342	429	67	89	652	746	127	152	905	562
932	1021	185	201	1233	1284	247	257	1710	432
319	279	62	57	1546	1501	300	292	2953	536
599	580	119	113	1463	1482	284	286	2953	537
478	552	94	113	1462	1546	290	300	2954	536
49	1	9	0	1339	1550	265	300	2954	537
175	379	34	72	570	594	112	116	2954	539
1	168	0	33	298	471	57	91	2955	538
1018	135	197	28	1531	520	296	112	3219	533
920	885	183	186	1351	1351	269	278	3373	963
788	763	166	166	1029	1119	217	239	3451	107
173	429	32	84	1152	1464	244	291	4699	177
958	475	200	100	1451	1031	300	212	4700	173
70	871	14	184	402	1159	83	244	6063	582
