b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1150	721	235	137	1361	863	277	164	522	146
1280	1162	245	205	1505	1287	290	228	366	190
434	1197	88	207	643	1406	129	248	987	202
646	1235	127	223	957	1392	184	250	1016	479
454	27	90	4	663	288	134	58	847	628
767	498	141	100	931	669	177	137	468	1323
627	985	125	194	1054	1260	211	247	378	1625
58	628	10	121	403	907	75	173	377	1628
7	1225	1	247	218	1434	41	285	5	1824
830	1210	169	221	1374	1476	274	271	697	1900
963	1155	182	208	1408	1429	265	259	144	1915
963	1353	182	247	1408	1627	265	298	144	2114
325	1333	67	239	1117	1561	217	281	1172	2202
