b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1305	94	244	18	1614	570	300	105	1	145
0	283	0	51	180	463	34	85	7	145
845	216	153	40	1122	570	203	105	26	145
340	305	62	54	498	463	93	85	28	145
149	1059	28	206	497	1411	92	270	2	146
610	1059	113	206	969	1416	179	271	31	146
643	986	117	177	903	1248	167	227	2	149
588	1023	107	185	802	1233	147	224	7	149
306	986	50	177	553	1233	97	224	33	149
1024	244	189	45	1200	420	224	80	2	151
1012	757	200	138	1245	998	247	186	40	829
474	757	86	138	737	1014	137	188	54	829
49	294	10	55	217	459	40	85	57	832
1297	946	239	180	1504	1157	279	220	67	1000
380	946	67	180	591	1157	107	220	71	1000
463	3	98	1	698	935	146	190	68	1004
916	548	162	102	1083	956	194	180	75	1087
1271	548	219	102	1440	956	251	180	79	1087
428	548	78	102	1302	944	244	178	81	1087
981	1198	173	216	1256	1591	222	291	84	1088
1416	544	258	105	1534	661	283	130	88	1092
569	544	105	105	941	661	177	130	90	1092
1326	307	234	59	1501	937	266	183	91	1094
934	54	182	11	1269	389	253	82	101	1117
404	728	86	143	591	1243	123	249	96	1119
290	323	53	61	799	626	152	123	110	1121
48	720	10	140	232	904	44	174	111	1122
1332	136	241	25	1600	1505	291	278	124	1144
168	681	31	127	850	1505	154	278	126	1144
1139	1311	220	264	1313	1490	256	300	127	1182
1313	0	256	0	1465	159	288	34	127	1183
404	0	77	0	546	144	106	30	134	1183
355	855	71	172	608	1489	121	299	137	1209
619	885	118	171	872	1577	167	300	150	1339
1404	1003	253	193	1669	1504	300	285	152	1339
391	1466	73	278	503	1577	95	300	160	1339
790	195	150	42	1046	871	204	182	150	1340
0	204	0	44	299	467	58	102	153	1340
391	20	73	5	596	470	115	103	160	1340
572	1135	107	230	935	1471	176	300	155	1346
860	616	167	129	1000	1094	195	227	168	1351
1199	666	210	130	1390	907	243	172	185	1354
95	1367	17	258	242	1516	51	292	190	1414
11	0	2	0	186	172	34	31	192	1414
1319	1367	243	258	1468	1516	277	292	194	1414
242	685	51	144	397	840	79	172	190	1415
292	685	53	144	447	840	81	172	198	1415
1353	39	251	7	1554	871	287	165	203	1441
1039	447	190	85	1249	912	227	170	208	1522
327	447	65	85	537	912	102	170	210	1522
1389	461	269	91	1550	709	297	138	217	1523
8	9	1	2	353	1214	73	242	209	1524
92	519	15	103	296	1162	57	231	219	1524
797	576	147	109	1312	770	247	151	221	1525
441	31	87	7	609	228	120	45	223	1599
1373	33	250	5	1529	189	277	32	228	1600
69	32	14	7	544	1489	112	300	230	1669
709	790	126	163	978	1489	179	300	239	1669
765	160	159	31	1030	1167	211	229	230	1672
606	160	107	31	870	1167	159	229	245	1672
412	999	80	195	858	1167	160	229	251	1672
530	810	96	157	690	1361	124	255	273	1815
609	849	109	164	871	1372	152	257	279	1815
826	62	140	12	1010	938	172	179	275	1817
1100	587	197	104	1359	1263	244	229	273	1818
1066	587	182	104	1332	1268	230	230	275	1818
934	855	163	154	1338	1225	235	221	282	1818
948	438	175	75	1092	1128	203	205	289	1821
420	799	73	141	534	1128	95	205	291	1821
1111	34	206	6	1406	1058	258	191	289	1822
625	34	111	6	1151	1058	201	191	291	1822
224	34	41	6	1412	1117	243	203	295	1822
0	1364	0	259	143	1510	25	284	290	1823
1241	820	220	158	1635	1510	288	284	291	1823
7	71	1	13	264	824	46	144	290	1824
342	71	60	13	1406	824	252	144	297	1824
1202	260	223	55	1426	1276	269	271	299	1833
633	336	114	72	1165	932	218	199	303	1833
1139	270	194	56	1269	724	220	148	318	1851
