b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
549	137	113	26	839	479	172	95	1376	71
480	0	94	0	953	564	190	115	5451	75
1090	5	199	1	1434	350	267	72	5213	77
624	7	121	1	1046	400	207	81	4470	86
778	1025	140	200	936	1168	174	231	3759	88
938	4	183	1	1490	636	300	134	1788	89
662	1259	140	243	885	1524	187	299	2366	96
755	514	135	102	1121	842	207	169	272	125
1023	1170	187	218	1440	1557	273	300	915	137
969	974	183	192	1313	1301	253	260	4981	142
957	0	176	0	1221	331	230	67	4134	155
478	710	91	134	938	1171	183	226	761	189
411	187	75	34	1486	1111	300	224	2481	194
25	344	4	64	417	747	83	146	1195	254
1160	930	213	188	1401	1186	263	240	3074	257
