b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
482	1099	95	184	1035	1409	197	242	2218	15
1366	922	243	179	1669	1239	300	237	2545	42
0	1239	0	237	181	1417	37	273	2546	42
758	375	145	70	906	523	175	100	5448	94
1366	779	243	153	1669	1160	300	225	2545	508
0	1160	0	225	181	1340	37	262	2546	508
255	1462	47	268	634	1639	115	300	1037	664
572	815	105	156	756	1000	143	194	149	848
1123	969	206	200	1340	1151	247	233	599	1330
209	1070	39	218	840	1432	161	290	5159	1463
1386	118	255	21	1539	332	283	60	5159	1464
808	0	157	0	1015	194	198	38	1425	1715
148	392	28	83	525	754	95	146	2106	2503
254	809	49	156	504	1058	103	210	3204	2577
0	66	0	14	487	568	96	113	560	2621
1123	723	206	129	1340	901	247	161	599	3075
603	459	123	91	1032	805	207	158	3122	3086
873	0	180	0	1431	260	300	55	2841	3232
71	1381	13	276	195	1504	37	300	3998	3325
135	786	26	146	530	1058	105	201	3570	3391
0	867	0	179	453	1184	92	244	216	4082
631	663	121	126	1015	1033	198	199	1425	4274
11	461	2	80	650	752	122	135	4777	4296
0	1022	0	198	351	1356	73	264	5187	4727
377	1013	68	181	848	1383	162	255	2310	4881
483	1281	90	242	786	1534	149	292	549	5100
969	1036	187	208	1240	1259	239	253	5017	5117
