b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
755	125	143	25	1228	650	235	120	28	8
0	998	0	184	447	1614	84	300	31	8
1047	1203	192	216	1433	1501	265	272	35	10
301	57	56	12	1301	729	249	137	46	14
60	17	11	3	1333	1195	248	227	71	24
160	114	27	20	951	946	176	179	77	26
5	331	1	62	711	896	133	163	110	39
704	984	133	190	1154	1338	222	257	129	47
61	115	13	20	498	719	93	132	129	47
88	844	15	162	873	1481	162	283	188	69
11	126	2	24	809	750	158	144	192	71
594	5	113	1	1156	513	221	96	203	76
46	266	9	49	957	1197	181	222	228	85
271	1007	53	180	1035	1494	203	274	233	87
484	611	91	119	1509	1322	296	260	238	89
58	1179	11	222	993	1617	185	300	256	94
257	748	50	143	1121	1525	207	287	257	95
566	0	113	0	1019	377	191	65	269	100
660	960	129	181	1441	1466	267	274	275	102
313	97	56	17	1085	831	198	159	295	111
784	986	146	197	1528	1397	278	272	310	118
1035	92	199	16	1554	717	297	134	354	136
1179	76	216	15	1473	383	275	75	356	138
308	359	56	73	1061	1053	199	208	379	145
309	227	57	43	1013	697	192	137	395	151
622	516	114	93	1541	1118	292	208	401	154
758	1206	137	220	1490	1618	268	291	515	198
160	984	30	180	502	1198	91	219	515	198
465	781	83	158	1229	1152	223	229	559	216
36	422	7	70	932	896	176	162	568	219
641	29	122	6	1633	506	292	93	569	220
1001	212	180	40	1341	462	246	88	588	226
549	1205	105	235	1154	1536	233	300	593	227
749	295	139	56	1548	654	293	126	625	240
731	780	146	144	1410	1439	273	266	630	242
603	642	121	131	987	959	206	200	640	247
242	962	44	186	733	1297	137	251	651	250
236	1061	42	202	971	1491	190	284	679	261
867	705	164	140	1534	1166	297	230	714	276
428	591	87	117	1555	1293	293	245	763	295
1150	776	216	149	1589	1198	299	234	770	298
522	215	107	38	1382	750	275	140	777	301
443	475	73	91	1543	1077	283	207	798	310
685	49	125	11	1106	281	211	59	820	320
101	321	20	61	1440	1079	295	223	831	325
577	74	106	16	1547	835	289	162	882	344
380	60	70	13	1521	665	282	125	898	350
651	738	127	136	1352	1026	260	192	1018	383
277	204	46	40	847	482	151	90	1044	387
160	171	31	36	574	293	110	61	1144	410
486	10	90	2	1380	742	269	150	1183	420
72	896	12	179	569	1245	103	246	1203	425
15	1388	3	272	285	1545	49	300	1204	425
64	1092	13	201	621	1387	120	257	1209	426
1330	1403	252	269	1562	1544	299	298	1244	432
126	1316	23	251	774	1540	147	295	1281	439
151	229	27	45	1259	528	241	104	1301	444
886	1119	166	215	1454	1436	273	270	1325	448
412	919	77	168	602	1136	113	209	1351	453
119	177	24	33	1301	820	243	152	1370	458
1338	54	232	10	1640	191	287	37	1410	467
755	277	141	58	1334	522	250	108	1422	469
299	284	57	52	797	471	157	91	1428	470
902	680	167	132	1363	1135	257	221	1438	472
1047	189	196	35	1317	429	242	79	1484	485
909	0	174	0	1483	309	288	67	1514	492
751	54	136	9	948	234	176	43	1652	523
610	896	120	176	1132	1324	220	261	1806	560
