b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
940	762	175	148	1420	1332	265	256	7	285
891	1164	164	226	1092	1327	208	262	25	376
373	1073	72	215	553	1257	109	253	92	987
959	495	182	100	1182	707	226	142	270	144
758	46	139	9	1104	417	209	84	323	1306
597	18	111	4	1100	532	208	110	323	1316
877	0	165	0	1104	178	209	34	323	1395
945	929	189	173	1218	1207	240	223	343	1494
284	1221	55	247	535	1478	107	300	345	893
543	397	106	83	744	560	146	116	396	832
1004	532	204	109	1437	937	292	191	442	1276
78	1390	14	270	221	1533	43	299	466	11
725	166	149	33	1011	457	209	94	476	942
0	731	0	147	401	1231	85	251	476	951
661	1192	127	235	843	1365	166	272	530	997
1287	1113	251	196	1446	1269	282	226	625	1630
867	613	178	117	1058	805	216	155	670	1197
0	821	0	157	220	988	46	191	678	1192
1275	912	242	171	1542	1180	294	220	753	53
0	879	0	165	367	1231	75	234	765	957
0	708	0	142	367	1060	75	214	765	1279
1207	139	240	25	1483	526	296	104	801	590
403	1204	83	229	1214	1487	245	286	842	998
397	1271	74	230	519	1392	96	252	845	31
766	982	159	188	1311	1150	257	219	866	1191
625	0	125	0	875	216	173	42	873	1304
318	767	65	149	800	1332	155	256	898	285
1124	1158	227	237	1266	1287	258	266	936	1352
708	644	142	130	1309	1258	259	251	1022	590
587	0	112	0	778	166	155	37	1038	50
194	1008	33	197	718	1428	138	278	1084	941
194	672	33	129	689	1129	132	219	1084	1809
6	934	1	178	165	1087	32	208	1089	938
862	697	161	132	1010	845	191	162	1107	923
657	278	141	57	858	508	183	106	1127	1277
465	1011	89	199	888	1413	180	284	1142	381
491	46	102	10	687	220	142	46	1194	699
507	1233	105	249	622	1377	130	280	1194	1558
730	278	141	54	1132	451	218	86	1242	1554
915	139	182	25	1327	590	266	118	1304	590
30	58	6	12	355	290	70	55	1307	4
350	192	70	37	773	669	152	132	1384	95
1179	239	223	41	1579	709	296	124	1421	1151
670	352	130	71	915	526	181	108	1470	833
209	681	38	144	425	868	82	183	1859	660
846	201	166	42	1034	402	200	79	1895	330
71	1320	14	262	272	1430	54	284	1935	356
1136	294	228	55	1463	667	292	127	1976	284
148	731	30	145	601	936	123	186	2141	1106
164	1092	32	213	329	1259	65	247	2201	1611
688	1204	137	236	826	1342	163	262	2240	783
929	314	182	59	1097	580	217	117	2326	68
712	904	130	183	875	1146	164	230	2410	354
202	662	39	124	783	1153	153	226	2556	1482
1081	770	224	160	1444	1207	297	249	2610	934
288	0	58	0	1163	873	240	180	2610	934
237	0	47	0	946	687	190	146	2611	935
