b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
966	597	192	119	1293	964	250	185	2235	45
356	1126	72	226	615	1449	128	295	1374	55
615	24	128	5	1464	876	300	176	1374	56
0	876	0	176	599	1478	125	300	1375	56
599	0	125	0	1468	832	300	167	1375	57
0	832	0	167	713	1503	143	300	1376	57
29	1242	5	247	262	1489	51	297	1377	57
713	0	143	0	1507	1019	300	202	1376	58
0	797	0	158	507	1485	104	300	1377	58
507	0	104	0	1478	1193	300	242	1377	59
0	1109	0	226	431	1473	85	299	1378	59
431	4	85	1	973	500	199	106	1378	60
678	1150	143	243	1034	1414	221	300	1373	61
32	427	7	88	627	882	137	186	1379	61
937	0	199	0	1432	516	300	106	1373	62
0	516	0	106	294	795	59	163	1374	62
921	818	183	170	1479	1311	297	269	2173	65
869	247	172	52	1489	599	300	125	2173	66
161	0	33	0	485	335	104	74	449	89
0	979	0	202	218	1257	42	256	45	96
246	979	45	202	867	1487	166	296	1424	96
216	222	44	47	807	842	163	169	2635	100
1357	655	265	138	1521	852	300	179	1557	105
0	480	0	101	543	1061	111	218	1566	121
516	230	102	44	965	706	191	136	774	154
996	680	191	142	1209	880	232	180	1111	183
693	8	131	2	856	153	167	34	648	196
211	5	38	1	885	815	179	170	2620	230
1252	509	264	104	1412	658	300	137	1967	232
0	429	0	90	235	706	55	156	1615	241
1255	1299	266	264	1407	1465	298	299	1127	243
1149	967	232	190	1481	1211	300	240	2136	248
1305	139	245	27	1565	384	300	77	1219	255
1022	601	203	116	1451	1008	290	194	559	272
7	902	1	186	468	1290	90	260	1913	275
905	0	185	0	1218	572	249	124	1791	288
1104	279	220	57	1490	670	300	137	12	296
0	670	0	137	190	886	37	179	13	296
614	0	118	0	1181	591	237	122	1464	298
70	515	14	103	513	948	103	190	387	313
178	1026	36	212	439	1391	89	286	413	318
39	728	8	153	807	1478	160	300	2445	334
