b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
274	742	48	147	679	1145	134	233	60	198
122	497	24	96	766	1221	155	244	72	2227
35	1098	6	224	479	1443	92	293	76	927
808	20	153	4	1346	577	261	117	76	928
353	998	61	199	607	1482	113	297	86	297
671	281	125	53	851	467	161	91	86	298
25	922	4	192	526	1455	100	295	151	1732
963	1191	181	243	1130	1367	213	277	183	1756
576	971	108	190	1051	1419	206	281	207	2143
962	1	191	0	1186	195	238	40	208	2326
955	612	194	123	1234	865	251	174	289	948
1328	670	242	139	1629	980	300	198	299	567
104	628	21	131	387	872	79	181	305	769
40	576	7	121	535	1122	108	230	309	1712
1333	841	258	181	1528	1025	300	221	337	597
685	899	132	169	902	1119	174	211	337	859
1	1025	0	221	133	1161	28	250	338	597
337	682	68	140	704	1079	145	225	340	1787
432	1140	83	234	743	1480	144	300	383	204
743	1	144	0	1171	510	222	93	383	205
1	750	0	151	492	1302	96	254	383	1079
295	746	57	148	775	1085	156	220	395	1417
81	690	16	139	667	1457	136	295	396	215
1	36	0	7	1035	1471	206	295	417	967
311	8	61	1	1586	1341	300	256	445	2215
176	1	35	0	1472	1387	300	290	446	2216
1	30	0	6	1162	1218	244	252	447	2217
1	43	0	9	1300	1417	264	299	448	2218
1	167	0	35	389	563	79	117	449	2219
1	254	0	51	249	531	50	108	456	610
495	349	97	69	765	611	149	119	467	682
766	660	155	128	936	822	189	161	544	959
385	1200	75	240	633	1465	126	293	574	2178
860	1	172	0	1027	179	209	39	577	2166
38	682	8	137	390	990	78	195	589	2251
274	818	50	175	738	1408	149	299	591	1061
1418	685	262	146	1590	901	299	194	611	565
1272	672	246	130	1485	861	289	168	612	645
955	257	174	54	1260	532	242	113	640	974
437	966	74	190	913	1444	167	283	640	1414
192	280	36	55	386	487	75	97	646	1514
844	898	165	179	1023	1081	205	220	656	1368
1	672	0	135	352	1080	76	223	674	713
879	1155	148	233	1218	1506	213	300	684	433
1229	8	215	1	1635	448	300	93	684	434
1	448	0	93	715	1220	143	247	685	434
530	1	102	0	1133	251	220	49	686	182
224	24	44	5	749	555	149	115	717	702
1188	1046	231	205	1531	1373	300	269	741	2119
468	1157	99	240	758	1425	158	294	750	188
131	227	27	46	497	642	105	136	750	1356
1299	974	243	191	1581	1253	300	247	771	2143
1	1253	0	247	168	1419	34	281	772	2143
