b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1081	389	217	81	1327	869	267	182	776	35
534	1009	105	205	787	1213	156	246	713	277
772	434	143	83	1563	1221	297	232	251	293
6	1275	1	258	194	1467	41	300	757	299
1188	734	238	144	1483	1025	300	205	2138	432
1114	445	224	86	1404	730	283	144	2107	433
782	1216	165	251	943	1372	198	283	2071	688
1024	207	196	42	1516	630	296	126	1615	716
1024	978	196	208	1318	1260	254	264	1615	743
571	786	111	163	741	949	148	198	1932	1871
291	467	54	97	708	947	139	196	1931	2085
68	771	12	150	688	1289	141	261	1933	2089
1	694	0	143	116	809	25	169	1809	3393
1294	992	248	201	1551	1218	300	247	1931	3676
1	1208	0	245	170	1406	33	284	1932	3676
1091	306	200	59	1438	604	273	123	1815	4083
