b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1185	588	214	114	1369	782	251	153	283	700
285	621	58	131	468	809	94	167	628	2026
740	81	140	16	1427	795	273	154	629	2279
1324	1049	251	212	1487	1468	286	299	629	4109
0	185	0	39	242	900	45	174	630	2279
0	93	0	21	131	226	24	45	630	2567
0	52	0	11	131	183	24	35	630	4110
19	0	4	0	385	364	79	76	813	1283
49	490	9	96	166	600	37	123	1074	2548
269	474	47	84	622	854	121	164	1849	1081
772	1414	155	257	962	1622	193	300	1967	1282
962	0	193	0	1332	364	269	76	1967	1283
789	619	155	118	991	822	198	162	2002	2735
1388	782	274	165	1505	892	300	190	2003	2884
0	892	0	190	153	1037	33	222	2004	2884
463	1271	88	263	674	1461	129	300	2006	2787
415	1369	78	253	669	1607	128	300	2006	2809
418	820	79	161	784	1332	153	267	2006	2822
415	520	78	102	784	1055	153	211	2006	2940
404	1019	76	216	784	1319	153	277	2006	2973
514	697	97	145	1322	1326	260	274	2008	2461
484	1092	95	224	750	1390	148	283	2103	695
1140	226	231	46	1425	747	287	149	2217	1110
1084	130	220	27	1459	830	294	164	2217	2273
1084	354	220	74	1379	863	278	173	2217	2566
1133	0	229	0	1379	462	278	90	2217	4069
1061	276	220	50	1418	619	289	116	2220	1109
757	361	146	69	1580	1002	300	195	2235	3083
