b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1015	1300	208	261	1308	1483	270	300	182	317
1	139	0	30	273	409	59	88	183	318
324	115	69	23	1484	1234	300	248	183	319
1	1234	0	248	302	1506	57	300	184	319
1178	1313	233	256	1421	1531	282	299	213	597
862	351	174	70	1459	1092	300	229	229	9
647	256	137	53	1461	1021	300	203	230	10
1	1021	0	203	365	1423	70	281	231	10
305	647	58	131	641	1003	124	201	231	11
1250	239	250	45	1500	596	300	115	236	376
806	147	161	32	1272	545	255	111	236	529
806	783	161	153	1230	1166	246	230	236	827
1267	772	265	161	1432	927	300	193	256	506
1	927	0	193	334	1245	67	257	257	506
542	1007	108	216	927	1394	190	297	268	428
1098	1185	219	244	1364	1450	276	300	273	363
570	338	108	68	1082	963	216	201	273	506
1	156	0	32	460	600	98	122	274	364
95	877	18	184	417	1170	83	244	320	756
919	1255	181	261	1048	1395	208	289	320	756
1192	562	242	111	1495	860	300	169	395	820
11	869	1	170	635	1545	122	300	396	820
1373	1096	259	218	1574	1303	300	261	572	807
1	1303	0	261	172	1476	36	298	573	807
